,Date,Ticker,Client,Amount,Issue,Specific_Issue
14,2022-10-07,BF.A,BROWN-FORMAN CORPORATION,300000.0,"Defense 
 Trade (domestic/foreign) 
 Financial Institutions/Investments/Securities 
 Consumer Issues/Safety/Products 
 Taxation/Internal Revenue Code","Issues related to distilled spirits sales in military commissaries - no specific legislation. 
 Issues involving U.S. trade agenda including bi-lateral and multi-lateral trade agreements - no specific legislation. Issues related to implementation of Customs Reauthorization and Trade Facilitation Act - no specific legislation. Issues related to EU/UK tariffs on American distilled spirits - no specific legislation Issues related to the imposition of Section 301 tariffs - no specific legislation. Issues related to government subsidies to foreign businesses - no specific legislation. Issues related to Customs and Border Protection's denial of duty drawbacks paid to Alcohol Tobacco Tax and Trade Bureau - no specific legislation. 
 Issues related to family majority controlled companies - no specific legislation. 
 Issues related to restrictions on consumer advertising - no specific legislation. Issues related to the implementation of Section 116 of the Food Safety Modernization Act - no specific legislation. 
 Issues related to tax reform including the U.S. corporate tax rate, expensing for capital expenditures and inventory, deduction for dividends paid, LIFO, repatriation for foreign corporate earnings, federal excise tax on beverage alcohol, the Section 5010 tax credit, advertising deductibility, government subsidies to foreign business, ready to drink products and other matters - no specific legislation. H.R. 5376 - Build Back Better Act - issues related to tax."
15,2022-10-07,BF.A,BROWN-FORMAN CORPORATION,0.0,"Taxation/Internal Revenue Code 
 Tariff (miscellaneous tariff bills) 
 Beverage Industry","Application by Customs and Border Protection and Treasury Department of Trade Facilitation and Trade Enforcement Act of 2015, Sec. 906 (Drawback and Refunds); CBP denial of drawback of taxes paid to Alcohol Tobacco Tax and Trade Bureau (TTB); TTB and/or CBP and/or Treasury Department regulations limiting CBP drawback of taxes paid to CBP or TTB to claims based on exports of tax-paid substitutes; amendments to customs drawback statute to reconfirm eligibility of distilled spirits, wine and beer for drawback of taxes based on export without taxes of substitute product, and to broaden the interchangeability of imported and exported whiskies in order to permit whiskey tax drawback. 
 Application by Customs and Border Protection and Treasury Department of Trade Facilitation and Trade Enforcement Act of 2015, Sec. 906 (Drawback and Refunds); CBP denial of drawback of taxes paid to Alcohol Tobacco Tax and Trade Bureau (TTB); TTB and/or CBP and/or Treasury Department regulations limiting CBP drawback of taxes paid to CBP or TTB to claims based on exports of tax-paid substitutes; amendments to customs drawback statute to reconfirm eligibility of distilled spirits, wine and beer for drawback of taxes based on export without taxes of substitute product, and to broaden the interchangeability of imported and exported whiskies in order to permit whiskey tax drawback. 
 Application by Customs and Border Protection and Treasury Department of Trade Facilitation and Trade Enforcement Act of 2015, Sec. 906 (Drawback and Refunds); CBP denial of drawback of taxes paid to Alcohol Tobacco Tax and Trade Bureau (TTB); TTB and/or CBP and/or Treasury Department regulations limiting CBP drawback of taxes paid to CBP or TTB to claims based on exports of tax-paid substitutes; amendments to customs drawback statute to reconfirm eligibility of distilled spirits, wine and beer for drawback of taxes based on export without taxes of substitute product, and to broaden the interchangeability of imported and exported whiskies in order to permit whiskey tax drawback."
16,2022-10-07,EXC,EXELON CORPORATION,20000.0,Energy/Nuclear,"Climate, Energy related issues"
17,2022-10-07,DASH,DOORDASH,20000.0,"Labor Issues/Antitrust/Workplace 
 Small Business","Independent Contractors 
 Restaurant relief Minority owned small businesses"
18,2022-10-07,PCG,PG&E CORPORATION,20000.0,Energy/Nuclear,"General Energy related issues, LIHEAP, Fire Safety"
19,2022-10-07,MSFT,MICROSOFT CORPORATION,50000.0,"Taxation/Internal Revenue Code 
 Telecommunications 
 Intelligence 
 Homeland Security 
 Immigration","Tax reform 
 ECPA, CS for Al, STEM, TV White Spaces, Ariband, Rural Broadband 
 Warrants, Surveillance EPCA, Cyber Security 
 Cyber Security, Bulk Data collection, Surveillance, ECPA, Lawful Access 
 High Skilled immigration, Immigration reform, DACA"
20,2022-10-07,CMCSA,COMCAST CORPORATION,20000.0,"Consumer Issues/Safety/Products 
 Telecommunications","Cyber Security, Data Breach, Privacy 
 Net Neutrality, Privacy, Broadband, Wireless"
21,2022-10-07,RIOT,"RIOT BLOCKCHAIN, INC.",80000.0,Energy/Nuclear,Bitcoin mining industry and related energy and blockchain industry issues.
22,2022-10-07,AGM.A,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,70000.0,"Telecommunications 
 Banking 
 Financial Institutions/Investments/Securities 
 Agriculture","Modifications to enhance Farmer Mac's renewable energy and telecommunications authorities 
 Modifications to enhance Farmer Mac's renewable energy, agribusiness and telecommunications authorities 
 Modifications to enhance Farmer Mac's renewable energy, agribusiness and telecommunications authorities 
 Modifications to enhance Farmer Mac's renewable energy, agribusiness and telecommunications authorities."
23,2022-10-07,KGC,"KINROSS GOLD U.S.A., INC.",50000.0,"Chemicals/Chemical Industry 
 Transportation","Transportation of Sodium Cyanide Briquettes in USICA (S. 1260) and America Competes (H.R. 4521). 
 Transportation of Sodium Cyanide Briquettes in USICA (S. 1260) and America Competes (H.R. 4521)."
24,2022-10-07,PII,POLARIS INC.,10000.0,Defense,Department of Defense appropriations issues; Army Research Development Text and Evaluation
25,2022-10-07,GATX,GATX CORPORATION,27000.0,"Transportation 
 Railroads 
 Taxation/Internal Revenue Code","Supply Chain Issues Looming Box car shortage 
 Inclusion of freight car lessors on the STB's Rail Shipper Transportation Advisory Council (RSTAC) Supply Chain issues Looming boxcar shortage 
 Tax credits to encourage the replacement and modernization of the freight railcar flee"
26,2022-10-06,TRU,TRANSUNION,10000.0,"Consumer Issues/Safety/Products 
 Financial Institutions/Investments/Securities","Matters related to credit reporting agencies and the regulation of credit reporting agencies 
 Matters related to credit reporting agencies and the regulation of credit reporting agencies"
27,2022-10-06,INTC,INTEL CORP,50000.0,Copyright/Patent/Trademark,Issues related to patent reform
28,2022-10-06,GWRS,GLOBAL WATER RESOURCES,0.0,,
29,2022-10-06,CBT,KERBEY HARRINGTON PINKARD LLP ON BEHALF OF CABOT CORPORATION,10000.0,Manufacturing,Garner support for Cabot's grant application submitted to the US. Dept. of Energy to onshore the manufacturing of Electric Batteries and components.
30,2022-10-06,QRVO,MLA ASSOCIATES ON BEHALF OF CLARK STREET ASSOCIATES LLC ON BEHALF OF QORVO,0.0,"Budget/Appropriations 
 Defense","Defense technology programs and issues 
 Defense technology programs and issues"
31,2022-10-06,KBR,STOCKBRIDGE MUNSEE COMMUNITY,0.0,,
32,2022-10-06,TMUS,"T-MOBILE USA, INC.",25500.0,Telecommunications,Spectrum policy; Federal and state financial support for the construction and delivery of communications services; Regulation of Internet protocol services; Distance learning
33,2022-10-06,ATEX,PDV WIRELESS (NOW DBA ANTERIX),30000.0,"Energy/Nuclear 
 Telecommunications","Issues related to energy grid modernization and the deployment of private communications networks Implementation of the grid modernization provisions of the Energy Act of 2020 (PL 116-260) Division Z Implementation of the Infrastructure Investment and Jobs Act (PL 117-58), Division D, Title I, provisions pertaining to grid resilience and reliability 
 Issues related to spectrum policy and the deployment of broadband service in the 900 MHz band Implementation of the Infrastructure Investment and Jobs Act (PL 117-58), Division F, provisions pertaining to broadband deployment Issues related to facilitating access to spectrum for offshore uses and operations"
34,2022-10-06,NEXT,NEXTDECADE CORPORATION,10000.0,"Financial Institutions/Investments/Securities 
 Environment/Superfund 
 Energy/Nuclear","Issues related to 45Q and $85 direct pay - no specific legislation. 
 Issues related to 45Q and $85 direct pay - no specific legislation. Issues related to FERC approvals - no specific legislation. 
 Issues related to 45Q and $85 direct pay - no specific legislation. Issues related to FERC approvals - no specific legislation."
35,2022-10-06,MOH,"MOLINA HEALTHCARE, INC.",40000.0,Medicare/Medicaid,Issues related to the high cost of prescription drugs - no specific legislation. Issues related to Medicaid and Medicaid assistance to states - no specific legislation. H.R. 5376 (P.L. 117-169) - Inflation Reduction Act - issues related to lower prescription drug prices and support for Medicaid. H.R. 5375 - Build Back Better Act - issues related to Medicaid funding and prescription drug pricing.
36,2022-10-06,EQT,EQT CORPORATION,10000.0,"Fuel/Gas/Oil 
 Clean Air and Water (quality)","Issues related to the regulation of shale gas production and pipeline safety initiatives. 
 Issues related to the regulation of shale gas production and pipeline safety initiatives."
37,2022-10-06,HL,HECLA MINING COMPANY,20000.0,"Budget/Appropriations 
 Real Estate/Land Use/Conservation 
 Natural Resources","Mining law reform 
 Permitting for hard rock mining and exploration projects; mining law reform 
 Permitting for hard rock exploration and mining projects; mining law reform"
38,2022-10-06,SRNE,"STONINGTON GLOBAL, LLC ON BEHALF OF SORRENTO THERAPEUTICS, INC.",0.0,Health Issues,FDA issues
39,2022-10-06,NSC,NORFOLK SOUTHERN CORPORATION,0.0,Railroads,Support for legislation that assures all modes of Transportation have the opportunity to do business in a fair market. Support legislation that allows rail carriers to continue to earn their cost of capital. Oppose legislation to require at least two-person crews in locomotives on all freight railroads.
40,2022-10-05,PCAR,PACCAR INC,120000.0,"Environment/Superfund 
 Energy/Nuclear 
 Trade (domestic/foreign) 
 Taxation/Internal Revenue Code 
 Trucking/Shipping 
 Transportation 
 Manufacturing","Provided input on EPA's Clean Trucks Plan and updates to Members of Congress, Congressional staff, and federal agencies on truck electrification, zero emissions vehicle sales mandates, and potential policies and funding to support zero emissions commercial vehicle manufacturing and market adoption. 
 Provided continued support for the 21st Century Truck Partnership, provided updates to Members of Congress, Congressional staff, and federal agencies on truck electrification and the DOE-funded SuperTruck II and SuperTruck 3 programs, and discussed priorities for electric vehicle (EV) charging and hydrogen fueling infrastructure to support medium- and heavy-duty electric trucks and for EV-related tax credits and grant programs included in or debated as part of the Inflation Reduction Act. 
 Provided general updates to Members of Congress, Congressional staff, and federal agencies, including information on the impact of the semiconductor supply shortage on the truck manufacturing and aftermarket parts supply chains and importance of prioritizing chip allocations for U.S. critical infrastructure industries. 
 Provided general updates to Members of Congress, Congressional staff, and federal agencies, including on the impact of the 12% federal excise tax (FET) on new truck sales and zero emission vehicles, and discussed proposals to reduce the FET and provide incentives for commercial electric vehicles (EV), EV manufacturing, and EV charging and hydrogen fueling infrastructure including EV-related tax credits and grant programs included in the Inflation Reduction Act. 
 Provided general updates to Members of Congress, Congressional staff, and federal agencies, including on advanced safety technologies, truck electrification, automation, and the semiconductor shortage. 
 Provided general updates to Members of Congress, Congressional staff, and federal agencies and discussed priorities for the Inflation Reduction Act and implementation of the Bipartisan Infrastructure Law. 
 Provided general updates to Members of Congress, Congressional staff, and federal agencies, including information on the impacts of the semiconductor supply shortage on the truck manufacturing and aftermarket parts supply chains, and on the importance of prioritizing chip allocations and investing in the manufacturing of automotive grade semiconductors for U.S. critical infrastructure industries."
41,2022-10-05,TTEK,"TETRA TECHNOLOGIES, INC.",0.0,"Taxation/Internal Revenue Code 
 Economics/Economic Development 
 Energy/Nuclear","Inflation Reduction Act 
 Inflation Reduction Act 
 Inflation Reduction Act"
42,2022-10-05,GPRE,GREEN PLAINS,100000.0,"Railroads 
 Aviation/Airlines/Airports 
 Taxation/Internal Revenue Code 
 Trade (domestic/foreign) 
 Fuel/Gas/Oil 
 Environment/Superfund 
 Energy/Nuclear 
 Budget/Appropriations 
 Agriculture","Issues related to railroad performance and oversight by the STB; Issues related to STB reauthorization; Issues related to labor negotiations between rail unions and rail service providers; Issues related to common carrier obligations 
 Issues related to life cycle assessment (LCA) modeling for crops used to make biofuels including sustainable aviation fuel (SAF); Issues related to tax credits for the production of SAF; Issues related to tax credits for alcohol to jet sustainable aviation fuel in H.R. 5376, the Inflation Reduction Act; Issues related to clean fuel production credit in H.R. 5376, the Inflation Reduction Act; 
 Issues related to COVID-19; Issues related to Carbon Capture and Sequestration (CCS) technology, including 45Q tax credits and direct pay options for same; Issues related to tax incentives for fuel retailers to sell higher blends of ethanol; Issues related to tax incentives for car manufacturers to produce flex fuel vehicles; Issues related to Master Limited Partnerships (MLP) tax treatment; Issues related to life cycle assessment (LCA) modeling for crops used to make biofuels including ethanol, biodiesel, renewable diesel and sustainable aviation fuel (SAF), particularly as it relates to proposed tax credits for SAF; Issues related to proposed clean fuel production tax credits; Issues related to H.R. 5376, the Inflation Reduction Act 
 Issues related to ethanol exports; Issues related to oil, gasoline and ethanol imports; Issues related to dried distillers grains (DDGS) exports; Issues related to agricultural commodity exports and tariffs; Issues related to trade negotiations with China, specifically purchase commitments and tariffs on ethanol and DDGS as part of the ""Phase I"" deal; Issues related to trade with Brazil, specifically tariff rate quotas on ethanol; Issues related to enforcement of USMCA; Issues related to trade with various nations; Issues related to imports of biofuels and biofuel feedstocks 
 Issues related to the RFS; Issues related to a Reid Vapor Pressure (RVP) waiver for mid-level ethanol-blended fuels; Issues related to partial waivers for a 15 percent ethanol fuel (E15); Issues related to E10 and E15 infrastructure and labeling; Issues related to 2023 and beyond Renewable Volume Obligation (RVO) under the RFS; Issues related to proposed RIN reforms; Issues related to higher octane fuels; Issues related to Carbon Capture and Sequestration (CCS) technology, including 45Q tax credits; Issues related to funding for refueling infrastructure capable of handling higher blends of ethanol; Issues related to the USDA Higher Blends Infrastructure Incentive Program; Issues related to biofuels in reconciliation bills, including H.R. 5376, the Inflation Reduction Act; Issues related to life cycle assessment (LCA) modeling for crops used to make biofuels including ethanol, biodiesel, renewable diesel and sustainable aviation fuel; Issues related to proposed clean fuel production tax credits; Issues related to pathway approvals under the RFS 
 Issues related to the RFS; Issues related to a Reid Vapor Pressure (RVP) fix for mid-level ethanol-blended fuels; Issues related to E15 fueling infrastructure; Issues related to 2023 and beyond Renewable Volume Obligation (RVO) under the RFS; Issues related to proposed RIN reforms, including transparency, price caps and export credits; Issues related to higher octane fuels; Issues related to Carbon Capture and Sequestration (CCS) technology, including 45Q tax credits; Issues related to the USDA Higher Blends Infrastructure Incentive Program; Issues related to biofuels in proposed reconciliation bills, including H.R. 5376, the Inflation Reduction Act; Issues related to life cycle assessment (LCA) modeling for crops used to make biofuels including ethanol, biodiesel, renewable diesel and sustainable aviation fuel; Issues related to proposed clean fuel production tax credits; Issues related to pathway approvals under the RFS 
 Issues related to the RFS; Issues related to a Reid Vapor Pressure (RVP) fix for mid-level ethanol-blended fuels; Issues related to 2023 and beyond Renewable Volume Obligation (RVO) under the RFS; Issues related to proposed RIN caps, export credits, transparency, and other measures to influence RIN values; Issues related to higher octane fuels; Issues related to funding for refueling infrastructure capable of handling higher blends of ethanol; Issues related to the USDA Higher Blends Infrastructure Incentive Program; Issues related to carbon capture and sequestration, including 45Q tax credits and direct payment options; Issues related to life cycle assessment (LCA) modeling for crops used to make biofuels including ethanol, biodiesel, renewable diesel and sustainable aviation fuel; Issues related to proposed clean fuel production tax credits; Issues related to pathway approvals under the RFS; Issues related to clean energy tax credits in H.R. 5376, the Inflation Reduction Act; 
 Issues related to H.R. 5376, the Inflation Reduction Act; Issues related to bills to fund the government, specifically policy items related to tax provisions; Issues related to bills to fund the government, specifically small refinery hardship waivers from the Renewable Fuel Standard (RFS) in report language; Issues related to the USDA Higher Blends Infrastructure Incentive Program; Issues related to carbon capture and sequestration, including 45Q tax credits and direct payment options; Issues related to life cycle assessment modeling for biofuels including ethanol, biodiesel, renewable diesel and sustainable aviation fuel; Issues related to tax treatment for master limited partnerships; Issues related to clean fuel production tax credits; Issues related to sustainable agriculture, including funding for working lands conservation programs; Issues related to pathway approvals under the RFS; Issues related to clean energy tax credits in H.R. 5376, the Inflation Reduction Act; 
 Issues related to the RFS; Issues related to ethanol exports; Issues related to 2023 and beyond Renewable Volume Obligation (RVO) under the RFS; Issues related to small refinery exemptions from RFS compliance; Issues related to Reid Vapor Pressure (RVP) waiver extension from E10 to E15 blends; Issues related to COVID-19 including economic impact on ethanol supply and demand; Issues related to the USDA Higher Blends Infrastructure Incentive Program; Issues related to life cycle assessment (LCA) modeling for crops used to make biofuels including ethanol, biodiesel, renewable diesel and sustainable aviation fuel; Issues related to clean fuel production tax credits in H.R. 5376, the Inflation Reduction Act; Issues related to alcohol to jet sustainable aviation fuel tax credits in H.R. 5376, the Inflation Reduction Act, including life cycle assessment (LCA) modeling; Issues related to pathway approvals under the RFS;"
43,2022-10-05,HOOD,ROBINHOOD,60000.0,Financial Institutions/Investments/Securities,Securities Law
44,2022-10-05,TRU,TRANSUNION,11250.0,Financial Institutions/Investments/Securities,Fai Credit Reporting Act
45,2022-10-05,GM,GENERAL MOTORS,37500.0,"Financial Institutions/Investments/Securities 
 Economics/Economic Development 
 Telecommunications","Federal charters 
 Banking and Securities 
 TPCA Modernization"
46,2022-10-05,GEO,THE GEO GROUP INC.,30000.0,Immigration,"Criminal Justice, development, operation and management of prison and detention facilities. Issues relating to deportation of federal prisoners."
47,2022-10-05,LMT,LOCKHEED MARTIN CORPORORATION,13500.0,Natural Resources,Fire fighting aircraft Wildland fire issues
48,2022-10-05,FOX,FOX CORPORATION,45000.0,Communications/Broadcasting/Radio/TV,"Copyright and content carriage issues; retransmission consent; online privacy; spectrum-related issues; media ownership issues; First Amendment issues; sports betting; sports and event futures; children's educational TV programming; advertising issues; Section 230 of the Communications Decency Act; antitrust enforcement and reform; business insurance and liability protection issues, corporate tax issues."
49,2022-10-05,BLK,BLACKROCK CAPITAL MANAGEMENT INC,80000.0,"Taxation/Internal Revenue Code 
 Retirement 
 Financial Institutions/Investments/Securities 
 Banking","Tax treatment of in-kind redemptions by registered investment companies. 
 Issues related to retirement security and savings, including retirement income products and retirement income disclosures and H.R.2594, the ""Securing a Strong Retirement Act of 2021."" 
 Regulation of asset management products and activities as systemically important. Regulation of money market funds and exchange-traded funds. 
 Regulation of asset management products and activities as systemically important. Regulation of money market funds."
50,2022-10-05,FLR,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC) ON BEHALF OF FLUOR CORPORATION,20000.0,"Energy/Nuclear 
 Budget/Appropriations 
 Accounting","Energy policy and funding 
 Energy policy and funding 
 Energy policy and funding"
51,2022-10-05,ABC,AMERISOURCEBERGEN CORPORATION,50000.0,Health Issues,"Medicare Part B Issues; Drug Quality and Security Act Implementation; Direct and Indirect Remuneration-Drug Pricing; Coronavirus and drug shortage issues; Inflation Reduction Act, FDA reauthorization legislation"
52,2022-10-05,OII,OCEANEERING INTERNATIONAL INC,40000.0,"Fuel/Gas/Oil 
 Arts/Entertainment 
 Defense 
 Aerospace","Updated congressional delegations on Oceaneering activity in the energy sector 
 Updated congressional delegations of Oceaneering activity in the theme park ride industry 
 Updated congressional delegations on Oceaneering's programs servicing the DoD 
 NASA and Commercial Space; updated congressional delegations on Oceaneering Int activity"
53,2022-10-05,TDG,"TRANSDIGM GROUP, INC.",80000.0,Defense,Defense Authorization and Appropriation bills for FY 2023 and oversight of DOD contracts.
54,2022-10-05,INTC,INTELLIGENT WAVES LLC,40000.0,Defense,FY 2023 National Defense Authorization Act.
55,2022-10-05,AVAV,"AEROVIRONMENT, INC.",0.0,Defense,Procurement of Client's Technology & Products.
56,2022-10-05,UI,LYNK GLOBAL INC (FKA UBIQUITILINK),10000.0,Telecommunications,Issues related to the space-based deployment of LTE base stations Issues related to the resiliency of telecommunications networks Issues related to the provision of emergency communications services
57,2022-10-05,ALC,FALCON HEALTHCARE INC.,0.0,Medicare/Medicaid,Regulations which govern the delivery of hospice services to Medicare patients
58,2022-10-05,NJR,NEW JERSEY RESOURCES CORPORATION,20000.0,"Fuel/Gas/Oil 
 Utilities 
 Environment/Superfund 
 Energy/Nuclear","Strategy development and implementation of federal government relations initiatives. 
 Strategy development and implementation of federal government relations initiatives. 
 Strategy development and implementation of federal government relations initiatives. 
 Strategy development and implementation of federal government relations initiatives."
59,2022-10-05,AAL,AMERICAN AIRLINES INC,40000.0,Aviation/Airlines/Airports,5G Issues
60,2022-10-05,AREC,"NORTH AMERICAN RESCUE, LLC",10000.0,"Defense 
 Budget/Appropriations","Issues related to mission-critical medical product procurement 
 Issues related to mission-critical medical product procurement"
61,2022-10-05,GBS,GBS/CIDP FOUNDATION INTERNATIONAL,10000.0,"Health Issues 
 Budget/Appropriations","GBS/CIDP research at NIH FDA, Patient Focused Drug Development Initiative CIDP, MMN Home Infusion Healthcare Reform, Patient Protections H.R.3808 CDC Chronic Disease Education and Awareness COVID-19 Relief Packages 
 FY22 L-HHS Appropriations, Medical Research & Public Health FY22 DoD Appropriations (Research Programs) FY22 DoD/HHS Approps COVID-19 Supplemental Appropriations COVID-19 Legislation CIDP/MMN/Home Infusion"
62,2022-10-05,GBS,GBS/CIDP FOUNDATION INTERNATIONAL,10000.0,"Health Issues 
 Budget/Appropriations","GBS/CIDP research at NIH FDA, Patient Focused Drug Development Initiative CIDP, MMN Home Infusion Healthcare Reform, Patient Protections H.R. 4724 HR 2905 S.2633 CDC Chronic Disease Education and Awareness COVID-19 Relief Packages 
 FY22 L-HHS Appropriations, Medical Research & Public Health FY22 DoD Appropriations (Research Programs) FY22 DoD/HHS Approps COVID-19 Supplemental Appropriations COVID-19 Legislation CIDP/MMN/Home Infusion"
63,2022-10-05,GBS,GBS/CIDP FOUNDATION INTERNATIONAL,10000.0,"Health Issues 
 Budget/Appropriations","GBS/CIDP research at NIH FDA, Patient Focused Drug Development Initiative CIDP, MMN Home Infusion Healthcare Reform, Patient Protections H.R. 4724 HR 2905 S.2633 CDC Chronic Disease Education and Awareness COVID-19 Relief Packages 
 FY22 L-HHS Appropriations, Medical Research & Public Health FY22 DoD Appropriations (Research Programs) FY22 DoD/HHS Approps COVID-19 Supplemental Appropriations COVID-19 Legislation CIDP/MMN/Home Infusion"
64,2022-10-05,VMC,VULCAN MATERIALS COMPANY,20000.0,Environment/Superfund,Implementation of Toxic Substances Control Act Reform (P.L. 114-182) and Regulation of Asbestos
