,Date,Ticker,Claims,IPC,Abstract
10,2022-10-11,WIT,20.0,g06f017/00,"this disclosure relates to method and system for data sampling using an artificial neural network (ann) model. in an embodiment, the method includes identifying a plurality of numerical data columns and a plurality of categorical data columns in population dataset, determining a set of predictor variables and a set of predictand variables by applying a linear regression on the plurality of numerical data columns, generating a sequential prediction model based on the set of predictor variables and the set of predictand variables, and performing stratified sampling on the plurality of categorical data columns to generate a set of stratified samples. the method further includes generating a sample key based on the set of stratified samples and the sequential prediction model, and generating a sample dataset representative of the population dataset based on the sample key."
11,2022-10-11,WHR,10.0,b01d053/26,a dehumidification mechanism for an appliance includes a blower that delivers humid process air along an airflow path. a drum is positioned along the airflow path. a condensing apparatus dehumidifies the humid air to define dehumidified air. a membrane has a plurality of nanopores that define a portion of the airflow path within the condensing apparatus. the humid air is delivered along the membrane having the plurality of nanopores and the nanopores operate through capillary condensation to dehumidify the humid air and separate condensate away from the humid air to define the dehumidified air. the condensate removed by the nanopore membrane is delivered away from the airflow path and to a condensate collection area within the appliance.
12,2022-10-11,WHR,20.0,h01r031/06,a power connection assembly for an appliance includes a receptacle that has an inner wall. the inner wall defines a cavity. a channel is defined by the inner wall and is in communication with the cavity. a power cord is configured to be at least partially received by the cavity of the receptacle. a cap is rotatable between a locked position and an unlocked position and is configured to at least partially encase the power cord. a protrusion extends radially from the cap. a switch is positioned proximate the channel and is operable between an open position and a closed position. the protrusion is received by the channel and is configured to move the switch to the closed position.
13,2022-10-11,WHR,5.0,d06f039/14,a laundry appliance includes a cabinet having a top panel that defines an aperture for selectively accessing a treatment chamber defined within the cabinet. a lid is rotationally operable relative to the aperture of the top panel between open and closed positions. hinge assemblies extend between the lid and the top panel. the hinge assemblies include a first hinge assembly. a second hinge assembly is selectively retractable into the lid to a retracted position. a biasing member biases the second hinge assembly out to an extended position. at least the second hinge assembly is operable to the retracted position to bypass a portion of the top panel to define an installed position where the first and second hinge assemblies are engaged with respective hinge receptacles of the top panel.
14,2022-10-11,WHR,17.0,d06f039/08,a recirculating fluid flow system for an appliance includes a fluid pump that delivers process fluid through a fluid path. a tub is disposed within a cabinet and defines a processing space. the fluid path includes at least a portion of the processing space. the tub has an outlet that directs the process fluid toward the fluid pump. a sprayer assembly is coupled with the tub for directing the process fluid into the processing space. the sprayer assembly includes a spray head having a plurality of spray nozzles and an operable seam that extends through each spray nozzle of the plurality of spray nozzles. the operable seam is selectively separable to define a release opening that includes at least two spray nozzles of the plurality of spray nozzles.
15,2022-10-11,WHR,20.0,d06f039/14,a laundry treating appliance having a door assembly with an inner door frame. one or more mechanical fasteners extending the inner door frame so secure one of a hinge or handle to the door frame. hinge and handle covers are adhesively bonded to the inner door frame to cover the one or more mechanical fasteners. a user interface controller is affixed to the door frame through an aperture in an inner door subassembly. a touch film having an integrated flexible printed circuit board with touch buttons is in communication with and configured to control the user interface controller. the touch film is adhered to the interior surface of the outer screen door.
16,2022-10-11,WHR,20.0,f25d023/06,"a vacuum insulated cabinet structure includes an exterior wrapper with a front edge extending around an opening thereof. a liner includes a front edge extending around an opening of the liner, wherein the liner is disposed inside of the wrapper. a thermal bridge includes an outer coupling portion and an inner coupling portion. in assembly, the outer coupling portion is overmolded to the front edge of the wrapper, and the inner coupling portion is overmolded to the front edge of the liner to form a sealed vacuum cavity (vc) between the wrapper and the liner. the thermal bridge is formed in a mold in which the wrapper and liner are partially disposed to form a unitary composite structure."
17,2022-10-11,WHR,8.0,f25d029/00,"an appliance includes an appliance housing, an interface adapted to receive power information, a plurality of sensors for sensing environmental conditions, a plurality of controls for controlling operations of the appliance, and an intelligent control. the intelligent control is disposed within the appliance housing and operatively connected to the interface and the plurality of sensors and adapted to dynamically select control values associated with the plurality of controls based on at least one of the power information, the environmental conditions, or a combination thereof to increase energy efficiency of the appliance."
18,2022-10-11,WFRD,20.0,e21b043/28,"systems and methods for predicting and optimizing the effects of acidizing treatment of carbonate rock are disclosed. the disclosed methods predict the conflicting effects of increased production (i.e., wormhole creation) and reduced rock compressive strength due to acid rock reactions. the mechanical stability of stimulated wellbores, such as horizontal wellbores, can be determined under different acidizing conditions, such as acid type and volume. the acidizing conditions can be optimized to maximize short and long-term production."
19,2022-10-11,WDC,20.0,g06f003/06,"aspects of a storage device including a controller are provided which identifies a bad, open block that causes subsequent erase operations to fail in closed blocks due to charge leakage following a previous program operation in the open block. each time the controller programs an open block, the controller attempts to erase a plurality of closed blocks following each programming of the open block. when the closed blocks fail to erase, the controller determines whether a number of consecutive erase failures after programming the open block meets a threshold, after which the controller re-attempts to erase the closed blocks. after a successful re-attempt, the controller stores a list of open blocks in memory. in response to repeating these steps a number or plurality of times, the controller stores multiple lists of open blocks in memory, and identifies the single common open block between the multiple lists as a bad block."
20,2022-10-11,WDC,15.0,g06f003/06,"the present disclosure describes technologies and techniques for use by a data storage controller—such as a controller for use with a nand or other non-volatile memory (nvm)—to provide a user-expandable memory space. in examples described herein, a customer may choose to purchase access to only a portion of the total available memory space of a consumer device, such as a smartphone. later, the customer may expand the user-accessible memory space. in one example, the customer submits suitable payment via a communication network to a centralized authorization server, which returns an unlock key. components within the data storage controller of the consumer device then use the key to unlock additional memory space within the device. in this manner, if the initial amount of memory the consumer paid for becomes full, the consumer may conveniently expand the amount of user-accessible memory."
21,2022-10-11,WDC,20.0,g06f011/34,"systems and methods for predictive performance indicators for storage devices are described. the data storage device may process host storage operations and maintenance operations that impact real-time performance. a performance value and corresponding threshold may be determined. increases in maintenance operations and resulting changes in the performance value may be predicted. when the predicted change in performance value crosses the performance threshold, the host device may be notified."
22,2022-10-11,WDC,19.0,h04l009/08,"disclosed herein is a data storage device with storage medium that stores encrypted user content data. a cryptography engine uses a cryptographic key to decrypt the encrypted user content data. an access controller receives, from a user device, a request to register the user device and generates a challenge for a manager device. the manager device is located remotely from the data storage device. the controller sends, to the user device, the challenge for the manager device; receives, from the user device, a response calculated by the manager device to approve the request to register; calculates the cryptographic key based at least partly on the response calculated by the manager device; and creates and stores authorization data associated with the user device. the authorisation data indicates the cryptographic key, to register the user device with the data storage device."
23,2022-10-11,WDC,20.0,g06f007/72,"disclosed herein is an apparatus for calculating a cryptographic component r 2  mod n for a cryptographic function, where n is a modulo number and r is a constant greater than n. the apparatus comprises an arithmetic logic unit configured to iteratively perform montgomery multiplication of a first operand with a second operand to produce an intermediate result, wherein the first operand and the second operand are set to the intermediate result after each iteration, responsive to a termination condition being met, determine an adjustment parameter indicative of a difference between the intermediate result and the cryptographic component, and perform montgomery multiplication of the intermediate result with the adjustment parameter, to calculate the cryptographic component for the cryptographic function."
24,2022-10-11,WDC,17.0,g11c016/10,"a storage device can reorganize a sequentially performed calibration task and delegate various steps of the task to multiple memory planes. by utilizing a characteristic that provides for similar memory device responses across multiple planes, the calibration task processed on one memory plane can be applied to another memory plane within the device. in this way, partial calibration data may be generated across a plurality of memory planes, and subsequently pooled together to generate a unified calibration data that can be utilized on each of the plurality of planes to do a full calibrated read on memory devices, thus reducing the amount of time needed to perform a calibrated read. reduced times for calibrated reads allows for increased resolution of threshold valley scans, increased lifespan of the storage device, improved read times, and also provides for data write methods to use less memory during intermediate multi-pass programming steps."
25,2022-10-11,WDC,20.0,g11c016/30,"an arrangement is described used to throttle data in a connected computer device having a device configured to transmit and receive data from a host, the device comprising, a device controller configured to interact with at least memory array and a data transfer throttling arrangement, the data transfer throttling arrangement configured to measure a bandwidth threshold for the device controller and pass data through the device controller when a bandwidth of the device controller is one of at and below a threshold."
26,2022-10-11,WDAY,21.0,g06f012/0891,"systems and methods for precomputing data and storing cache objects corresponding to the precomputed data are described. a system creates a new cache object when a user interacts with the system. the system precomputes formulas in the newly created cache object by replacing the formulas with corresponding calculated values. the system precomputes the formulas in the background (i.e., the user is not presented with the precomputed values while the user is manipulating the data). the system may persistently store a precomputed version cache object in a dedicated version cache storage for later use. if updates are performed to the structure and/or values of a version represented in a precomputed version cache object, effected parts of the version cache object are invalidated by replacing calculated values with the underlying formulas."
27,2022-10-11,WATT,48.0,h02j050/80,"an exemplary embodiment of secure wireless transmission of power using unidirectional communication signals from a wireless-power-receiving device. the method includes, receiving, from a wireless-power-transmitting device that includes a first communications radio, a first wireless-power-transmission signal at a wireless-power-receiving device that includes a second communications radio. in response to receiving the first wireless-power-transmission signal: broadcasting, via the second communications radio of the wireless-power-receiving device and without establishing a communications channel between the first and second communications radios, a data packet, the data packet including information identifying (i) at least one power requirement of a power source of the wireless-power-receiving device (ii) an amount of power received by the wireless-power-receiving device from the first wireless-power-transmission signal. after broadcasting the data packet, receiving, from the wireless-power-transmitting device, additional wireless-power-transmission signals at the wireless-power-receiving device, wherein the wireless-power-transmitting device transmits each of the additional wireless-power-transmission signals using a predetermined sequence of different transmission characteristics."
28,2022-10-11,VSAT,21.0,h04l012/14,"methods, apparatus, and systems manage use of shared network resources among subscribers to a data communication service. in some implementations, a first metric is computed representing a subscriber's use of the shared network resources. a second metric may also be computed that represents the amount of network congestion of the shared network resources. data derived from the first metric and the second metric may then be presented to the subscriber. the data may be transmitted to the subscriber over a network and/or the data may be displayed to the subscriber on an electronic display."
29,2022-10-11,VSAT,20.0,h04l005/12,"one example includes a phased-array antenna system ( 10 ). the system includes antenna elements ( 16 ) each including an element adjustment circuit ( 24 ) and a radiating element ( 114 ). a beamforming network ( 14 ) receives a carrier signal and generates element carrier signals. a baseband dsp ( 22 ) generates a plurality of composite beamforming data signals associated with a respective one of the antenna elements ( 16 ) and is generated based on combining individual beamforming data signals. each of the individual beamforming data signals is associated with a respective beam and is based on combining a data signal associated with the respective beam with an antenna weight associated with the respective beam and the respective one of the antenna elements ( 16 ). the element adjustment circuit ( 24 ) modulates the associated composite beamforming data signal onto the respective element carrier signal to generate a respective element signal that is provided to the respective radiating element ( 114 ), such that the beams are generated from the antenna elements ( 16 )."
30,2022-10-11,VRTX,14.0,a61k031/497,"described herein are methods of treating a proliferative disorder (e.g., cancer) in a patient by administering a dna damaging agent and between about 12 and about 48 hours later administering to the subject a compound that inhibits atr protein kinase. methods of treating a proliferative disorder (e.g., cancer) in a patient by administering a compound that inhibits atr protein kinase are also described. exemplary atr inhibitors are represented by formulae a-i and a-ii or a pharmaceutically acceptable salt thereof, wherein the variables are as defined herein."
31,2022-10-11,VRTX,8.0,c07d401/14,the disclosure provides processes for preparing a compound of formula (i).
32,2022-10-11,VRTX,30.0,c12n005/071,"provided herein are methods of producing β cells and precursors thereof utilizing a wnt signaling inhibitor or pkc activator, or both. also provided herein are in vitro cultures comprising said cells, methods of treating a subject with a disease characterized by high blood sugar levels over a prolonged period of time by administering said cells, and devices for encapsulating said cells."
33,2022-10-11,VRT,21.0,h05k007/20,"a power distribution cabinet is disclosed which includes multiple internal compartments for separating and channeling hot air generated by high heat generating components out of the cabinet without coming into contact with more heat sensitive components. the cabinet includes a baffle structure which forms an internal wall within the cabinet, which helps to form a high heat compartment and an upper compartment. the high heat compartment houses a heat generating component. cool air is allowed to flow into a lower area of the cabinet and into the high heat compartment, and is also channeled into the upper compartment where at least one other heat generating component is located. the baffle structure channels hot air formed within the high heat compartment out toward a rear area of the equipment cabinet, while also helping to channel warm air created within the upper compartment through a top panel of the cabinet."
34,2022-10-11,VRSN,20.0,h04l061/4511,"a computer-implemented method, computer-readable medium, and an apparatus operable to perform the method is provided for managing multiple provisioned domain name system (“dns”) registry objects. the method can include receiving, at a dns registry, a multiple domain extensible provisioning protocol (“epp”) command from a registrar on behalf of a registrant to perform an action for each provisioned dns registry object of the multiple provisioned dns registry objects; comparing the action with one or more allowable actions in a policy maintained by the registry; determining, by a processor, that the action is allowable based on the comparing; and performing, based on the determining, the action on each of the provisioned dns registry objects in one transaction."
35,2022-10-11,VRSN,20.0,g06q050/18,"in some examples, a method for validating a consistency of sponsorship can include determining, by a dns registry, that a second-level domain label of a requested domain name in a first top level domain is related to a second-level domain label of an existing domain name in a second top level domain that is grouped in a top level domain database with the first top level domain. the method can also include validating whether there is consistency of sponsorship between the requested domain name in the first top level domain and the existing domain name in the second top level domain. additionally, the method can include performing an action related to the requested domain name in the first top level domain if there is consistency of sponsorship. furthermore, the method can include providing results of the request to a client device."
36,2022-10-11,VRSN,17.0,g06n003/08,"embodiments relate to systems, devices, and computing-implemented methods for generating domain name suggestions by obtaining a domain name suggestion input that includes textual data, segmenting the textual data into tokens, obtaining a list of possible affixes to the textual data, determining conditional probabilities for the possible affixes using a language model, ranking the list of possible affixes based on the conditional probabilities to generate a ranked list of affixes, and generating domain name suggestions based on the ranked list of affixes."
37,2022-10-11,VOXX,20.0,h04n021/422,"a vehicle entertainment system may include at least one vehicle video monitor configured to be mounted in the vehicle and including a monitor display and a monitor control interface permitting an adjacent user to control video content for the monitor display. the system may further include a mobile wireless device (mwd) to be carried by a remote user within the vehicle comprising an mwd display and circuitry associated therewith configured to obtain sampled video content being displayed on the monitor display, display the sampled video content on the mwd display, and provide a remote mwd control interface to permit the remote user to remotely control the video content on the monitor display."
38,2022-10-11,VOR,22.0,c12n015/19,"genetically engineered hematopoietic cells such as hematopoietic stem cells having one or more genetically edited genes of lineage-specific cell-surface proteins and therapeutic uses thereof, either alone or in combination with immune therapy that targets the lineage-specific cell-surface proteins."
39,2022-10-11,VMW,21.0,g06f009/455,"techniques for generating change notifications associated with applications based on application logs are disclosed. in one embodiment, a system may include a log analyzer to receive application logs generated by the applications running in a computing environment and analyze the received application logs to parse information about the applications. further, the system may include a change detection unit communicatively coupled to the log analyzer to generate a change notification indicating that a change has been occurred to an application running on a compute node in the computing environment using the parsed information and send the change notification indicating the changed application to a subscriber."
40,2022-10-11,VMW,21.0,g06f008/71,"example methods are provided for performing fast building and testing a software suite with multiple software components. in one example, the method may include obtaining a changed code file, identifying a software component of the software suite impacted by the changed code file, and instructing to generate a software component build based on the software component but excluding other software components of the software suite. before completing generating the software component build, the method may also include selecting a software suite build. the method further includes instructing to prepare a testbed based on the software suite build and instructing to test the software component build on the testbed."
41,2022-10-11,VMW,20.0,h04l043/04,"a system and method for observing and controlling a programmable network via higher layer attributes is disclosed. according to one embodiment, the system includes one or more collectors and a remote network manager. the one or more collectors are configured to receive network traffic data from a plurality of network elements in the network. the remote network manager is configured to connect to the one or more collectors over the internet via a network interface. the one or more collectors extract metadata from the network traffic data and send the metadata to the network manager."
42,2022-10-11,VMW,20.0,h04l067/141,"disclosed are examples relating to managing remote support sessions using devices in communication through a network. in some examples, a request is obtained that includes a selection of an endpoint device for remote support. a sample associated with a remoting capability is obtained from the endpoint device. a remote support server can be selected from among multiple remote support servers based on the sample. examples of causing the endpoint device to communicate with the remote support server are also disclosed."
43,2022-10-11,VMW,20.0,g06f015/16,"disclosed are various embodiments for managing the state of client devices using device-driven management workflows. a computing device can be evaluated to determine the current state of the computing device. then, the current state of the computing device is compared to an expected state of the computing device. the expected state of the computing device may be based at least in part on a result of execution of at least one device-driven management workflow by the computing device. in response to a determination that the current state of the computing device fails to match the expected state of the computing device, the device-driven management workflow can be executed to resolve the discrepancy between the expected state and the current state."
44,2022-10-11,VMW,20.0,g06f015/16,"some embodiments provide novel methods for performing services for machines operating in one or more datacenters. for instance, for a group of related guest machines (e.g., a group of tenant machines), some embodiments define two different forwarding planes: (1) a guest forwarding plane and (2) a service forwarding plane. the guest forwarding plane connects to the machines in the group and performs l2 and/or l3 forwarding for these machines. the service forwarding plane (1) connects to the service nodes that perform services on data messages sent to and from these machines, and (2) forwards these data messages to the service nodes. in some embodiments, the guest machines do not connect directly with the service forwarding plane. for instance, in some embodiments, each forwarding plane connects to a machine or service node through a port that receives data messages from, or supplies data messages to, the machine or service node. in such embodiments, the service forwarding plane does not have a port that directly receives data messages from, or supplies data messages to, any guest machine. instead, in some such embodiments, data associated with a guest machine is routed to a port proxy module executing on the same host computer, and this other module has a service plane port. this port proxy module in some embodiments indirectly can connect more than one guest machine on the same host to the service plane (i.e., can serve as the port proxy module for more than one guest machine on the same host)."
45,2022-10-11,VMW,21.0,g06f003/06,"techniques for issuing efficient writes to an erasure coded storage object in a distributed storage system via adaptive logging are provided. in one set of embodiments, a node of the system can receive a write request for updating one or more logical data blocks of the storage object and determine whether a size of the one or more logical data blocks meets or exceeds a threshold size. upon determining that the size of the one or more logical data blocks meets or exceeds the threshold size, the node can allocate a segment in a capacity object of the storage object, write the one or more logical data blocks via a full stripe write to the segment, and write metadata for the one or more logical data blocks to a log record in a log of a metadata object of the storage object. the metadata written to the log record can include mappings between logical block addresses (lbas) of the one or more logical data blocks and physical block addresses (pbas) where the one or more logical data blocks reside in the segment."
46,2022-10-11,VMW,20.0,g06f008/61,disclosed are various implementations for distributing and installing packages in response to user logon events. a logon event associated with a user account is detected for a client device. a query containing a respective user account identifier is sent to a provisioning service to retrieve a set of packages to install on the client device. the set of packages are received from the provisioning service and installed on the client device.
47,2022-10-11,VMW,18.0,g06f003/04845,"techniques for optimizing window resize actions for a remoted application are provided, where the remoted application has a server-side window running within a remote desktop of a server system, and where the server-side window is made accessible to a user of a client system as a client-side window displayed in a client desktop of the client system. in one embodiment, the client system can receive from the server system a notification that the server-side window is being resized in the remote desktop, and can determine that the user is currently entering one or more input commands for resizing the server-side window. in response, the client system can send a message to the server system for canceling the resizing of the server-side window. the client system can then allow the user to resize the client-side window via the one or more input commands, while the server-side window remains a fixed size."
48,2022-10-11,VMW,25.0,h04l041/147,"a system and method for observing and controlling a programmable network via higher layer attributes is disclosed. according to one embodiment, the system includes one or more collectors and a remote network manager. the one or more collectors are configured to receive network traffic data from a plurality of network elements in the network. the remote network manager is configured to connect to the one or more collectors over the internet via a network interface. the one or more collectors extract metadata from the network traffic data and send the metadata to the network manager."
49,2022-10-11,VMW,22.0,h04l012/24,"some embodiments provide a method for associating data message flows from applications executing on a host computer with network interfaces of the computer. the method of some embodiments identifies a set of applications operating on a machine executing on the host computer, identifies candidate teaming policies for associating each identified application with a subset of one or more interfaces, and generates a report to display the identified candidate teaming policies per application to a user. in response to user input selecting a first teaming policy for a first application, the method generates a rule, and distributes the rule, to the host computer to associate the first application with a first subset of the network interfaces specified by the first teaming policy. similarly, in response to user input selecting a second teaming policy for a second application executing on the machine, the method generates a second rule, and distributes the second rule, to the host computer to associate the second application with a second subset of the network interfaces specified by the second teaming policy."
50,2022-10-11,VMW,21.0,h04l045/02,"example methods and systems for routing domain computation are described. in one example, a computer system may assign multiple logical entities with respective routing domain identifiers (ids) by processing network topology information using multiple compute nodes. in response to detecting a network topology change associated with a particular logical entity, the computer system may determine first state change information identifying a first update to first state information maintained by a first compute node; and second state change information identifying a second update to second state information maintained by a second compute node. further, the particular logical entity with an updated routing domain id based on the first state change information and the second state change information. the updated routing domain id may be used in a communication between a management entity and host(s) supporting the particular logical entity."
51,2022-10-11,VMW,21.0,h04l009/40,"example methods and systems for authentication for logical overlay network traffic are described. in one example, a first computer system may detect an inner packet and generate authentication information associated with the inner packet based on control information from a management entity. the authentication information may indicate that the inner packet originates from a trusted zone. the first computer system may further generate an encapsulated packet by encapsulating the inner packet with an outer header that specifies the authentication information, and send the encapsulated packet towards the second virtualized computing instance to cause a second computer system to verify that the inner packet originates from the trusted zone based on the authentication information."
52,2022-10-11,VIEW,30.0,g02f001/15,"a tintable window is described having a tintable coating, e.g., an electrochromic device coating, for regulating light transmitted through the window. in some embodiments, the window has a transparent display in the window's viewable region. transparent displays may be substantially transparent when not in use, or when the window is viewed in a direction facing away from the transparent display. windows may have sensors for receiving user commands and/or for monitoring environmental conditions. transparent displays can display graphical user interfaces to, e.g., control window functions. windows, as described herein, offer an alternative display to conventional projectors, tvs, and monitors. windows may also be configured to receive, transmit, or block wireless communications from passing through the window. a window control system may share computational resources between controllers (e.g., at different windows). in some cases, the computational resources of the window control system are utilized by other building systems and devices."
53,2022-10-11,VIAV,20.0,g01m011/00,"a test instrument tests an optical component of a fiber optic network. the test instrument determines signal parameters describing pulses to be emitted by lasers of the test instrument to test the optical component, and directly modulates the lasers to repeatedly emit the pulses at different wavelengths on a single fiber optic cable in a time division multiplexing manner. the test instrument triggers powering measurements to coincide with the emitted pulses, and determines performance parameters of the optical component based on the triggered power measurements."
54,2022-10-11,VIAV,15.0,h01q005/25,an ultra-wideband mobile mount antenna with a capacitive ground structure-based matching structure. the antenna has a return loss better than 10 db over an operating frequency range of 250 mhz to 1220 mhz.
55,2022-10-11,VIAV,20.0,h04b017/12,"a testing device may receive, via a receiving port of a radio frequency (rf) frontend of the testing device, a downlink pilot signal, and may determine a phase associated with the downlink pilot signal. the testing device may transmit, via a transmitting port of the rf frontend of the testing device, an uplink pilot signal. the testing device may receive, after transmitting the uplink pilot signal, the uplink pilot signal via the receiving port of the rf frontend of the testing device. the testing device may determine, after receiving the uplink pilot signal, a phase associated with the uplink pilot signal. the testing device may adjust, based on a phase difference between the phase of the downlink pilot signal and the phase of the uplink pilot signal, one or more transmission settings of the testing device."
56,2022-10-11,VIAV,20.0,h04q011/00,"disclosed are apparatuses and testing methods for emulating an optical network terminal (ont) device for communicating or otherwise working with an optical line terminal (olt) device that was configured to operate with the ont device. such emulation may include configuring various settings of the apparatus so that the apparatus may appear to the olt to be the ont device. for example, the emulation may include accessing and using authentication/authorization related settings and network configuration settings of the ont, thus permitting the apparatus to connect to a passive optical network and test services and the quality of service experience without having to reconfigure the olt."
57,2022-10-11,VECO,13.0,c23c014/06,"an improved cathodic arc source and method of dlc film deposition with a carbon containing directional-jet plasma flow produced inside of cylindrical graphite cavity with depth of the cavity approximately equal to the cathode diameter. the generated carbon plasma expands through the orifice into ambient vacuum resulting in plasma flow strong self-constriction. the method represents a repetitive process that includes two steps: the described above plasma generation/deposition step that alternates with a recovery step. this step provides periodical removal of excessive amount of carbon accumulated on the cavity wall by motion of the cathode rod inside of the cavity in direction of the orifice. the cathode rod protrudes above the orifice, and moves back to the initial cathode tip position. the said steps periodically can be reproduced until the film with target thickness is deposited. technical advantages include the film hardness, density, and transparency improvement, high reproducibility, long duration operation, and particulate reduction."
58,2022-10-11,UMC,8.0,h01l049/02,"a metal-insulator-metal (mim) capacitor includes a substrate, a first metal layer, a deposition structure, a dielectric layer and a second metal layer. the first metal layer is disposed on the substrate and has a planarized surface. the deposition structure is disposed on the first metal layer, and at least a portion of the deposition structure extends into the planarized surface, wherein the first metal layer and the deposition structure have the same material. the dielectric layer is disposed on the deposition structure. the second metal layer is disposed on the dielectric layer."
59,2022-10-11,UMC,4.0,h01l043/02,"a method for fabricating semiconductor device includes the steps of: forming a first inter-metal dielectric (imd) layer on a substrate; forming a metal interconnection in the first imd layer; forming a bottom electrode layer and a pinned layer on the first imd layer; forming a sacrificial layer on the pinned layer; patterning the sacrificial layer, the pinned layer, and the bottom electrode layer to form a first magnetic tunneling junction (mtj); forming a second imd layer around the first mtj; and removing the sacrificial layer."
