,Ticker,Date,Description,Agency,Amount
44,ED,2022-10-19,WINDOW TINTING IMPLEMENTATION,DEPARTMENT OF DEFENSE (DOD),228869.0
45,ED,2022-10-19,LIGHTING & BUILDING ENVELOPE EFFICIENCY,DEPARTMENT OF DEFENSE (DOD),110913.0
46,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),272.6
47,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),103.9
48,DNOW,2022-10-19,"ADAPTER, SOCKET WRENCH: SEE ITEM PURCHASE DESCRIPTION IN CONTRACT.",GENERAL SERVICES ADMINISTRATION (GSA),3.53
49,DNOW,2022-10-19,PLEASE SEE IPD OR LONG DESCRIPTION FOR FURTHER DETAILS,GENERAL SERVICES ADMINISTRATION (GSA),28.76
50,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),69.9
51,DNOW,2022-10-19,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CE261AG (HP 648A) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURE STANDARD YIELD CARTRIDGE FOR USE WITH HP CP4025 AND CP4525 SERIES COLOR LASERJET PRINTERS AND ALL OTHERS T",GENERAL SERVICES ADMINISTRATION (GSA),846.3
52,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),519.5
53,DNOW,2022-10-19,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CF283X (HP 83X) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURE HIGH YIELD CARTRIDGE FOR USE WITH HP LASERJET PRO PRINTER SERIES INCLUDING M201, MFP M225 AND ANY OTHER PRIN",GENERAL SERVICES ADMINISTRATION (GSA),96.48
54,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),519.5
55,DNOW,2022-10-19,"CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N: CF360A",GENERAL SERVICES ADMINISTRATION (GSA),698.05
56,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),1048.5
57,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),519.5
58,DNOW,2022-10-19,"CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N: CF361A",GENERAL SERVICES ADMINISTRATION (GSA),350.04
59,DNOW,2022-10-19,"CARTRIDGE, TONER I.A.W. HP P/N CF410A",GENERAL SERVICES ADMINISTRATION (GSA),88.72
60,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),699.0
61,DNOW,2022-10-19,"CROWFOOT ATTACHMENT, SOCKET WRENCH: IAW ASME B107.100-2020, FLAT WRENCHES. CAT 6 WRENCH,BOX FORMERLY 1B107.6-1 CAT 8 ADJUSTABLE WRENCHES FORMERLY 1B107.8 CAT 9 BOX WRENCHES, DOUBLE HEAD FORMERLY 1B107.9 CAT 21 WRENCH, CROWFOOT FORMERLY 1B107.21",GENERAL SERVICES ADMINISTRATION (GSA),8.48
62,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),199.6
63,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),519.5
64,DNOW,2022-10-19,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. LEXMARK P/N 72K00MG CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH LEXMARK LASERPRINT CS820, CX820, CX825, CX860 SERIES AND ANY OTHER PRINTER USING LEXM",GENERAL SERVICES ADMINISTRATION (GSA),715.92
65,DNOW,2022-10-19,"TAPE, MEASURING: MATERIAL: STEEL BLADE, WITH PROTECTIVE MYLAR COATING, YELLOW IN COLOR, BLACK INDICATORS BLADE WIDTH: 1.25 INCH BLADE LENGTH: 25 FEET MEASURING GRADUATIONS: INCH AND FEET SMALLEST GRADUATION 1/16 INCH CASE: PLASTIC WITH RUBBER OV",GENERAL SERVICES ADMINISTRATION (GSA),472.08
66,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),272.6
67,DNOW,2022-10-19,MISC. ADHESIVES,GENERAL SERVICES ADMINISTRATION (GSA),1982.7
68,DNOW,2022-10-19,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CF361X (HP 508X) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURE HIGH YIELD CARTRIDGE FOR USE WITH HP LASERJET PRINTER SERIES M553 (FLOW), MFP M577 AND ANY OTHER PRINTER US",GENERAL SERVICES ADMINISTRATION (GSA),8186.1
69,DNOW,2022-10-19,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. LEXMARK P/N 72K00MG CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH LEXMARK LASERPRINT CS820, CX820, CX825, CX860 SERIES AND ANY OTHER PRINTER USING LEXM",GENERAL SERVICES ADMINISTRATION (GSA),178.98
70,DNOW,2022-10-19,"CHISEL, COLD, HAND: TYPE I: CHISELS CLASS 2: COLD OVERALL LENGTH 6 INCHES (+/- .5 INCH) CUTTING EDGE WIDTH: 5/8 INCH (+.05 INCH, -.03 INCH) SHANK SHAPE: HEXAGONAL SHANK WIDTH ACROSS FLATS: 1/2 INCH MINIMUM MATERIAL: STEEL COATING: OXIDE (EXCEPTI",GENERAL SERVICES ADMINISTRATION (GSA),10.06
71,DNOW,2022-10-19,"SOCKET, SOCKET WRENCH: IAW SOCIETY OF AUTOMOTIVE ENGINEERS AEROSPACE (SAE) STANDARD AS955, METRIC SOCKETS, WRENCHES, HAND TWELVE POINT, HIGH STRENGTH, THIN WALL DATED 2012. TYPE I: METRIC SOCKETS (12-POINT) CLASS 1: METRIC SOCKETS STYLE A: REGUL",GENERAL SERVICES ADMINISTRATION (GSA),0.39
72,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),272.6
73,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),519.5
74,DNOW,2022-10-19,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER IAW HEWLETT PACKARD P/N Q5953A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP COLOR LASERJET 4700 SERIES PRINTERS AND ALL OTHER LASER PRINTERS THAT USE HP C",GENERAL SERVICES ADMINISTRATION (GSA),187.18
75,DNOW,2022-10-19,"CARTRIDGE, TONER I.A.W. XEROX P/N 106R03502",GENERAL SERVICES ADMINISTRATION (GSA),2664.48
76,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),699.0
77,DNOW,2022-10-19,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. DELL PN 593-BBMF CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES HIGH YIELD CARTRIDGE FOR USE WITH DELL LASER PRINTERS S2815DN SERIES AND ALL OTHERS THAT USE DELL CARTRIDGE PN 593-BBMF COLOR",GENERAL SERVICES ADMINISTRATION (GSA),1414.9
78,DNOW,2022-10-19,"INK, CARTRIDGE: ITEM NAME INK, CARTRIDGE I.A.W. HEWLETT PACKARD P/N C1823D CARTRIDGE TYPE NEW (OEM GENUINE) USAGE DESIGN INKJET PRINTER SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HEWLETT PACKARD DESKJET 710C, 720C, 810, 830, 880, 890",GENERAL SERVICES ADMINISTRATION (GSA),63.51
79,DNOW,2022-10-19,"CARTRIDGE,INK",GENERAL SERVICES ADMINISTRATION (GSA),103.9
80,DNOW,2022-10-19,"SOCKET, SOCKET WRENCH: IAW SOCIETY OF AUTOMOTIVE ENGINEERS AEROSPACE (SAE) STANDARD AS955, METRIC SOCKETS, WRENCHES, HAND TWELVE POINT, HIGH STRENGTH, THIN WALL DATED 2012. TYPE I: METRIC SOCKETS (12-POINT) CLASS 1: METRIC SOCKETS STYLE A: REGUL",GENERAL SERVICES ADMINISTRATION (GSA),0.39
81,CMCSA,2022-10-19,CABLE SERVICE,DEPARTMENT OF VETERANS AFFAIRS (VA),62500.0
82,ANSS,2022-10-19,ANSYS COMPUTATIONAL FLUID DYNAMICS (CFD) ENTERPRISE SOFTWARE AND LEARNING HUB SUBSCRIPTION RENEWAL,ENVIRONMENTAL PROTECTION AGENCY (EPA),21873.85
83,ABT,2022-10-19,PROS - LVAD EQUIPMENT,DEPARTMENT OF VETERANS AFFAIRS (VA),20700.0
84,A,2022-10-19,MAINTENANCE AGREEMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),13899.6
85,HNGR,2022-10-18,ARTIFICIAL LIMBS AND REPAIR,DEPARTMENT OF VETERANS AFFAIRS (VA),14838.33
86,EVGR,2022-10-18,PROVIDE FOR PAD LEASE/RENTALS IN SUPPORT OF HURRICANE LAURA DR4559LA-DIRECT HOUSING MISSION,DEPARTMENT OF HOMELAND SECURITY (DHS),38250.0
87,ABT,2022-10-18,MITRAL VALVE,DEPARTMENT OF VETERANS AFFAIRS (VA),19990.0
88,UTHR,2022-10-16,TYVASO REFILL KIT,DEPARTMENT OF VETERANS AFFAIRS (VA),13557.03
89,UPS,2022-10-16,ANCHORAGE VA REGIONAL OFFICE SMALL PACKAGE DELIVERY SERVICES.,DEPARTMENT OF VETERANS AFFAIRS (VA),2092.5
90,TTEK,2022-10-16,INITIATION OF EMERGENCY RESPONSE TASK ORDER FOR HURRICANE IAN RESPONSE UNDER START V CONTRACT 68HE0519D0006,ENVIRONMENTAL PROTECTION AGENCY (EPA),100000.0
91,T,2022-10-16,REACTIVATE AT&T IPHONE SERVICE TO 57 EXISTING IPHONE DEVICES BEING USED IN SUPPORT OF DR-4673-FL,DEPARTMENT OF HOMELAND SECURITY (DHS),7915.59
92,T,2022-10-16,CELL PHONE SERVICE FOR TIRO PA TAC CONTRACT EMPLOYEES,DEPARTMENT OF HOMELAND SECURITY (DHS),1944.18
93,T,2022-10-16,THE PURPOSE OF THIS FIRM FIXED PRICE TASK ORDER IS TO PROVIDE FIRSTNET CELLULAR PHONE SERVICE FOR SURGE CAPACITY FORCE PERSONNEL DEPLOYING TO FLORIDA FOR FEMA-4671-DR-PR,DEPARTMENT OF HOMELAND SECURITY (DHS),13448.22
94,SUPN,2022-10-16,APOKYN 10 MG,DEPARTMENT OF VETERANS AFFAIRS (VA),10151.05
95,RSG,2022-10-16,SOLID WASTE REMOVAL SERVICES OCT-DEC 2022  FY2023  SAM'S ON 10/1/22 & VERIFIED ON DATE OF REQUEST HB,DEPARTMENT OF JUSTICE (DOJ),8900.0
96,PBI,2022-10-16,METER RENTAL AND MAINTENANCE - FY23,DEPARTMENT OF JUSTICE (DOJ),1165.0
97,PBI,2022-10-16,J451705.23311 POSTAGE,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),25000.0
98,ODP,2022-10-16,"PENCIL,RUB,MECH,511",GENERAL SERVICES ADMINISTRATION (GSA),2057.79
99,ODP,2022-10-16,HP 508A BLACK ORIGINAL LASER JET TONER C,GENERAL SERVICES ADMINISTRATION (GSA),1205.04
100,ODP,2022-10-16,"SCHEDULER,ACTIVITY,2023,PK10",GENERAL SERVICES ADMINISTRATION (GSA),181.05
101,ODP,2022-10-16,"TICKET,ROLL,DOUBLE,ASTD",GENERAL SERVICES ADMINISTRATION (GSA),19.16
102,ODP,2022-10-16,PAPER PERFORATOR,GENERAL SERVICES ADMINISTRATION (GSA),737.56
103,ODP,2022-10-16,"CLIPBOARD,9"" X12"" ,ALUMINUM",GENERAL SERVICES ADMINISTRATION (GSA),218.28
104,ODP,2022-10-16,"CAN,TRASH,BRUTE,32 GAL L",GENERAL SERVICES ADMINISTRATION (GSA),82.45
105,ODP,2022-10-16,PAPER 8.5X11,GENERAL SERVICES ADMINISTRATION (GSA),60.64
106,ODP,2022-10-16,"CAN,TRASH,BRUTE,32 GAL L",GENERAL SERVICES ADMINISTRATION (GSA),100.19
107,ODP,2022-10-16,"PAD, WRITING PAPER (REPOSITIONABLE) YELL",GENERAL SERVICES ADMINISTRATION (GSA),232.92
108,ODP,2022-10-16,"TONER,LXK,TAA,84C0HKG,HIGH YIELD,BLACK",GENERAL SERVICES ADMINISTRATION (GSA),1328.28
109,ODP,2022-10-16,"TOWEL, PAPER, SINGLE-FOLD, NATURAL, 9-1/",GENERAL SERVICES ADMINISTRATION (GSA),184.99
110,ODP,2022-10-16,"PEN,G2,FINE,8PK,ASST POUCH",GENERAL SERVICES ADMINISTRATION (GSA),322.01
111,ODP,2022-10-16,"CUP,FOAM,12 OZ,1M/CTN,WE",GENERAL SERVICES ADMINISTRATION (GSA),149.3
112,ODP,2022-10-16,"CLIPBOARD,ALUMNUM,DUAL STORAGE",GENERAL SERVICES ADMINISTRATION (GSA),377.6
113,ODP,2022-10-16,"HAND WSH,FOAM,ANBAC,DIAL,75OZ",GENERAL SERVICES ADMINISTRATION (GSA),44.97
114,ODP,2022-10-16,MAGNETS,GENERAL SERVICES ADMINISTRATION (GSA),93.93
115,ODP,2022-10-16,FOLDER FILE HANGING,GENERAL SERVICES ADMINISTRATION (GSA),255.64
116,ODP,2022-10-16,"NOTES,POST-IT,SS,3X3,5PK,ULTRA",GENERAL SERVICES ADMINISTRATION (GSA),215.15
117,ODP,2022-10-16,"PAPER,TOILET TISSUE",GENERAL SERVICES ADMINISTRATION (GSA),129.17
118,ODP,2022-10-16,WRITING PAD,GENERAL SERVICES ADMINISTRATION (GSA),249.81
119,ODP,2022-10-16,"PENCIL,#2 POLY LEAD,DISP,12/PK",GENERAL SERVICES ADMINISTRATION (GSA),53.32
120,LLL,2022-10-16,MPCMS L3 SUPPORT,DEPARTMENT OF HOMELAND SECURITY (DHS),4240.0
121,JLL,2022-10-16,SIX SIGMA STUDY OF CURRENT EUL PROGRAM,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),649092.52
122,HPE,2022-10-16,NONSTOP SOFTWARE PRODUCT REVISION INSTALLATION,DEPARTMENT OF AGRICULTURE (USDA),5000.0
123,HNGR,2022-10-16,PROS LIMB,DEPARTMENT OF VETERANS AFFAIRS (VA),10707.77
124,GMS,2022-10-16,"DETERGENT,UTILITY",GENERAL SERVICES ADMINISTRATION (GSA),384.24
125,GMS,2022-10-16,GLASS CLEANER,GENERAL SERVICES ADMINISTRATION (GSA),273.84
126,GMS,2022-10-16,"CLEANER,INDUSTRIAL, CONCENTRATED CLEANER, DEGREASER. VOC COMPLIANT. USE ON MOST HARD SURFACES. 5 GALLON CONTAINER.",GENERAL SERVICES ADMINISTRATION (GSA),635.1
127,GMED,2022-10-16,SURGICAL IMPLANT,DEPARTMENT OF VETERANS AFFAIRS (VA),13509.57
128,GEO,2022-10-16,"NEW TASK ORDER FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",DEPARTMENT OF HOMELAND SECURITY (DHS),5553933.28
129,GE,2022-10-16,GE WARRANTY SERVICE FY-2023,DEPARTMENT OF JUSTICE (DOJ),17520.0
130,GE,2022-10-16,GE NAC IMAGING EQUIPMENT,DEPARTMENT OF VETERANS AFFAIRS (VA),753707.87
131,GE,2022-10-16,GE CT SERVICE CONTRACT GREENVILLE,DEPARTMENT OF VETERANS AFFAIRS (VA),84238.0
132,FRO,2022-10-16,"PROVIDE LABOR FOR THE DOMESTIC WATER CORROSION CONTROL EQUIPMENT PROJECT.  WORK WILL BE PERFORMED AT THE STANLEY J. ROSZKOWSKI U.S. COURTHOUSE LOCATED AT 327 SOUTH CHURCH STREET IN ROCKFORD, IL.",GENERAL SERVICES ADMINISTRATION (GSA),31234.84
133,FRO,2022-10-16,"PROVIDE LABOR FOR EMERGENCY CALL-BACK AND OVERTIME HOURS.  WORK WILL BE PERFORMED AT THE STANLEY J. ROSZKOWSKI U.S. COURTHOUSE LOCATED AT 327 SOUTH CHURCH STREET IN ROCKFORD, IL.",GENERAL SERVICES ADMINISTRATION (GSA),4000.0
134,EXPR,2022-10-16,FEDEX - SHIPPING SERVICES POP: 10/1/2022 - 9/30/23,DEPARTMENT OF JUSTICE (DOJ),1400.0
135,EXPR,2022-10-16,FEDEX SHIPPING DELIVERY SERVICE,DEPARTMENT OF VETERANS AFFAIRS (VA),3165.0
136,EXPR,2022-10-16,CONTINUATION OF WORLDWIDE SERVICES FOR THE DISTRICT OF SC FOR SMALL SHIPMENTS THAT ARE NOT FREIGHT OVER 150LBS. FEDEX SERVICES FOR THE DISTRICT FOR FY-23.  COVERS SHIPMENTS THAT ARE NOT FREIGHT OVER 50LBS.,DEPARTMENT OF JUSTICE (DOJ),10000.0
137,EW,2022-10-16,SAPIEN AORTIC VALVES,DEPARTMENT OF VETERANS AFFAIRS (VA),130000.0
138,ECL,2022-10-16,"DETERGENT, GENERAL PURPOSE. ECOLAB OASIS 100, P/N 14522 OR EQUAL. CONCENTRATED CLEANER FOR FLOORS INCLUDING VINYL, TILE, POLISHED, UNPOLISHED, NATURAL MARBLE AND WOOD. REMOVES SOAP FILM, GREASE, OIL AND COMMON SOILS BUT NOT WAX. 2.5 GALLON CONTA",GENERAL SERVICES ADMINISTRATION (GSA),356.0
139,ECL,2022-10-16,"DISHWASHING COMPOUND, MACHINE: ECOLAB INC., SOLID POWER XL, PART NUMBER 6100185. CONCENTRATED WAREWASHING DETERGENT FOR USE IN ECOLAB WAS MAX DISPENSERS. FOUR (4) EACH NINE (9) POUND CAPSULES PER BOX.",GENERAL SERVICES ADMINISTRATION (GSA),2003.5
140,ECL,2022-10-16,"DISHWASHING COMPOUND, MACHINE: ECOLAB INC., SOLID POWER XL, PART NUMBER 6100185. CONCENTRATED WAREWASHING DETERGENT FOR USE IN ECOLAB WAS MAX DISPENSERS. FOUR (4) EACH NINE (9) POUND CAPSULES PER BOX.",GENERAL SERVICES ADMINISTRATION (GSA),881.54
141,ECL,2022-10-16,"NSN#: 7930015386047, SOFTENER, FABRIC, BLOCKSECOLAB INC X-STATIC WOODY FLORAL P/N 10317",GENERAL SERVICES ADMINISTRATION (GSA),181.41
142,ECL,2022-10-16,DISHWASHING COMPOUN,GENERAL SERVICES ADMINISTRATION (GSA),38.33
143,DNOW,2022-10-16,"PAPER, COVER: - SEE ATTACHED DOCUMENT FOR DETAIL.",GENERAL SERVICES ADMINISTRATION (GSA),165.92
144,DNOW,2022-10-16,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD PN W2022A (HP 414A) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP COLOR LASERJET PRO M454DW, M454DN, MFP M479FDW, MFP M479FDN AND AN",GENERAL SERVICES ADMINISTRATION (GSA),185.92
145,DNOW,2022-10-16,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CF361X (HP 508X) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURE HIGH YIELD CARTRIDGE FOR USE WITH HP LASERJET PRINTER SERIES M553 (FLOW), MFP M577 AND ANY OTHER PRINTER US",GENERAL SERVICES ADMINISTRATION (GSA),3496.14
146,DNOW,2022-10-16,"BOTTLE, TONER WASTE: ITEM NAME BOTTLE, TONER WASTE SPECIAL FEATURE FOR USE WITH XEROX PHASER 6600, WORK CENTRE 6605 AND 6655 SERIES YIELD 30,000 PAGES (PARTIAL DESCRIPTION)",GENERAL SERVICES ADMINISTRATION (GSA),104.96
147,DNOW,2022-10-16,"BOTTLE, TONER WASTE: ITEM NAME BOTTLE, TONER WASTE SPECIAL FEATURE FOR USE WITH XEROX PHASER 6600, WORK CENTRE 6605 AND 6655 SERIES YIELD 30,000 PAGES (PARTIAL DESCRIPTION)",GENERAL SERVICES ADMINISTRATION (GSA),131.2
148,DNOW,2022-10-16,"BOTTLE, TONER WASTE: ITEM NAME BOTTLE, TONER WASTE SPECIAL FEATURE FOR USE WITH XEROX PHASER 6600, WORK CENTRE 6605 AND 6655 SERIES YIELD 30,000 PAGES (PARTIAL DESCRIPTION)",GENERAL SERVICES ADMINISTRATION (GSA),52.48
149,DNOW,2022-10-16,"CARTRIDGE,TONER",GENERAL SERVICES ADMINISTRATION (GSA),343.2
150,DNOW,2022-10-16,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. LEXMARK PN E450H21A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES HIGH YIELD LEXMARK LASER TONER CARTRIDGE FOR USE WITH LEXMARK E450 AND E450DN LASER PRINTERS AND ALL OTHERS THAT USE LEXMAR",GENERAL SERVICES ADMINISTRATION (GSA),149.81
151,DNOW,2022-10-16,"SOCKET, SOCKET WRENCH: IAW SOCIETY OF AUTOMOTIVE ENGINEERS AEROSPACE (SAE) STANDARD AS955, METRIC SOCKETS, WRENCHES, HAND TWELVE POINT, HIGH STRENGTH, THIN WALL DATED 2012. TYPE I: METRIC SOCKETS (12-POINT) CLASS 1: METRIC SOCKETS STYLE A: REGUL",GENERAL SERVICES ADMINISTRATION (GSA),0.5
