,Ticker,OTC_Short,OTC_Total,DPI,Date
1018,BPT,121771,320479,0.379965614,2022-10-19
1019,BIIB,139868,319847,0.4372965824,2022-10-19
1020,AFL,180168,318913,0.5649440443,2022-10-19
1021,TRVN,96962,318715,0.3042279152,2022-10-19
1022,TOL,231436,317547,0.7288243945,2022-10-19
1023,GNTX,140627,317445,0.4429964246,2022-10-19
1024,GCI,145340,316415,0.4593334703,2022-10-19
1025,PII,285637,315193,0.906228882,2022-10-19
1026,VTC,210281,314777,0.6680316542,2022-10-19
1027,DFS,148464,314723,0.4717291078,2022-10-19
1028,ANF,104043,314002,0.3313450233,2022-10-19
1029,PRMW,114132,313853,0.3636479498,2022-10-19
1030,HASI,149366,313538,0.4763888269,2022-10-19
1031,MWA,130422,313400,0.4161518826,2022-10-19
1032,REXR,143911,312777,0.4601073608,2022-10-19
1033,DG,187855,312569,0.6010032985,2022-10-19
1034,INTU,174329,311945,0.5588453093,2022-10-19
1035,BVN,158020,311638,0.5070626817,2022-10-19
1036,NVRO,263211,311446,0.8451256398,2022-10-19
1037,TV,120346,311388,0.3864824592,2022-10-19
1038,CEIX,102396,310980,0.3292687633,2022-10-19
1039,GLPI,135305,310862,0.4352574454,2022-10-19
1040,VRTX,96613,310552,0.3111008784,2022-10-19
1041,DVAX,209589,310263,0.6755204456,2022-10-19
1042,MYOV,117333,310153,0.3783068357,2022-10-19
1043,SHW,70300,309981,0.2267880935,2022-10-19
1044,EA,196382,309669,0.6341674498,2022-10-19
1045,MELI,177441,307637,0.5767869275,2022-10-19
1046,HCA,192532,307373,0.6263790248,2022-10-19
1047,AI,175455,307367,0.5708322624,2022-10-19
1048,INCY,118039,307265,0.3841602526,2022-10-19
1049,GBDC,118655,306875,0.3866558045,2022-10-19
1050,CYH,196781,306805,0.6413878522,2022-10-19
1051,K,213319,306673,0.6955910693,2022-10-19
1052,SPR,125268,306383,0.4088608049,2022-10-19
1053,LILAK,163878,305742,0.536000942,2022-10-19
1054,OI,168188,305594,0.5503642087,2022-10-19
1055,FWONK,172400,305368,0.5645647219,2022-10-19
1056,INUV,272592,305219,0.8931029851,2022-10-19
1057,HBM,219637,304756,0.7206978698,2022-10-19
1058,OIS,112522,304564,0.3694527259,2022-10-19
1059,RGA,100992,304200,0.3319921105,2022-10-19
1060,TEL,173329,304048,0.570071173,2022-10-19
1061,SELB,157327,303793,0.5178756588,2022-10-19
1062,WW,196788,303069,0.6493174822,2022-10-19
1063,DXLG,124314,302568,0.4108630126,2022-10-19
1064,SMTC,73680,302265,0.2437596149,2022-10-19
1065,AFMD,206530,302078,0.683697588,2022-10-19
1066,SOLO,192237,301870,0.6368204856,2022-10-19
1067,CVI,215371,301611,0.714068784,2022-10-19
1068,PSCE,245254,301246,0.8141319719,2022-10-19
1069,AMX,122190,299264,0.4083017002,2022-10-19
1070,A,160704,299206,0.5371015287,2022-10-19
1071,SMG,175275,298444,0.5872961092,2022-10-19
1072,BSM,135618,296570,0.4572883299,2022-10-19
1073,YAYO,241530,296020,0.8159245997,2022-10-19
1074,MRTX,218787,295969,0.7392226889,2022-10-19
1075,ULTA,233111,295446,0.7890138976,2022-10-19
1076,NCR,70199,294986,0.2379740055,2022-10-19
1077,HPP,156812,294006,0.5333632647,2022-10-19
1078,AGTC,106451,293931,0.3621632288,2022-10-19
1079,CNX,202976,293813,0.6908339658,2022-10-19
1080,MCRB,228608,293509,0.7788790122,2022-10-19
1081,SAP,167790,292853,0.5729495686,2022-10-19
1082,DKS,203531,292190,0.6965707245,2022-10-19
1083,MPLX,146497,291917,0.5018447024,2022-10-19
1084,LBRDK,122020,291104,0.4191629108,2022-10-19
1085,SSRM,149201,290903,0.5128891761,2022-10-19
1086,BMRN,96955,290769,0.3334433863,2022-10-19
1087,VTR,75732,290746,0.2604747787,2022-10-19
1088,PLYA,19453,290609,0.066938739,2022-10-19
1089,EVOP,59656,290573,0.2053046911,2022-10-19
1090,PRPL,156312,289603,0.5397457899,2022-10-19
1091,ACAD,183795,289302,0.6353049754,2022-10-19
1092,GRFS,153707,288879,0.5320809058,2022-10-19
1093,POOL,169673,288687,0.5877403555,2022-10-19
1094,DX,189416,288530,0.6564863272,2022-10-19
1095,XRX,200449,287665,0.6968140024,2022-10-19
1096,DOC,213487,287640,0.7422020581,2022-10-19
1097,VIST,195259,287564,0.6790105855,2022-10-19
1098,IRM,127928,287433,0.4450706773,2022-10-19
1099,TPX,102970,286680,0.3591809683,2022-10-19
1100,MMP,194078,286459,0.6775070778,2022-10-19
1101,RGNX,34735,286454,0.1212585616,2022-10-19
1102,EDU,162477,286067,0.5679683431,2022-10-19
1103,IRDM,164142,285540,0.5748476571,2022-10-19
1104,WBS,113743,284914,0.3992187116,2022-10-19
1105,VREX,148793,284764,0.5225133795,2022-10-19
1106,AOS,162356,283744,0.5721918349,2022-10-19
1107,ABB,189355,283323,0.6683361393,2022-10-19
1108,EXPI,172234,283089,0.6084093695,2022-10-19
1109,NUV,111512,282967,0.3940812886,2022-10-19
1110,USA,178780,282292,0.6333158573,2022-10-19
1111,GSBD,151029,282184,0.5352146117,2022-10-19
1112,BWA,120349,282044,0.4267029258,2022-10-19
1113,WSO,249846,281935,0.8861829854,2022-10-19
1114,PEY,204006,281550,0.7245817794,2022-10-19
1115,SRPT,218286,281408,0.7756922333,2022-10-19
1116,PRTS,159071,281312,0.565461125,2022-10-19
1117,CRF,104567,281284,0.3717488375,2022-10-19
1118,IGT,183396,281099,0.6524249464,2022-10-19
1119,LBTYK,184386,280689,0.6569049731,2022-10-19
1120,CBRE,123751,280547,0.4411061248,2022-10-19
1121,SILV,125255,280060,0.4472434478,2022-10-19
1122,INSW,100524,279541,0.3596037791,2022-10-19
1123,AMRX,175973,277164,0.6349056876,2022-10-19
1124,ABUS,134465,277041,0.4853613725,2022-10-19
1125,CCRN,166888,276816,0.6028842263,2022-10-19
1126,DVY,125454,276677,0.4534312574,2022-10-19
1127,FIXD,15684,276156,0.056793986,2022-10-19
1128,LOGC,164464,275979,0.5959294004,2022-10-19
1129,AME,81780,275815,0.2965030908,2022-10-19
1130,HTHT,102172,275483,0.3708831398,2022-10-19
1131,BEAM,145425,275169,0.5284933986,2022-10-19
1132,WB,124158,274697,0.451981638,2022-10-19
1133,BLK,200137,274692,0.7285869264,2022-10-19
1134,CME,77650,274587,0.282788333,2022-10-19
1135,AKAM,149790,274577,0.5455300335,2022-10-19
1136,FTK,148984,274557,0.5426341343,2022-10-19
1137,HUBB,121493,274492,0.4426103493,2022-10-19
1138,BRBR,141153,274429,0.5143516174,2022-10-19
1139,TGNA,74321,273821,0.2714218413,2022-10-19
1140,TGB,109755,273704,0.4009988893,2022-10-19
1141,PFGC,49470,273418,0.1809317602,2022-10-19
1142,SVM,75267,273176,0.2755256684,2022-10-19
1143,AWK,212921,273072,0.7797247612,2022-10-19
1144,AREC,89554,272644,0.328464958,2022-10-19
1145,OCUL,166236,272372,0.6103270527,2022-10-19
1146,LEG,70518,272284,0.2589869401,2022-10-19
1147,VVR,135549,272161,0.4980471118,2022-10-19
1148,QABA,262373,271964,0.9647343031,2022-10-19
1149,NTR,130774,271729,0.4812662616,2022-10-19
1150,NYT,171317,271605,0.6307579021,2022-10-19
1151,XPER,76376,271181,0.2816421504,2022-10-19
1152,SIG,158443,270849,0.5849864685,2022-10-19
1153,ACCO,116408,270565,0.4302404228,2022-10-19
1154,ZBH,93277,270139,0.3452926086,2022-10-19
1155,FLO,175151,269852,0.6490631902,2022-10-19
1156,ARE,192295,269263,0.7141530771,2022-10-19
1157,NAC,50957,268968,0.189453764,2022-10-19
1158,PRU,146970,268968,0.5464218792,2022-10-19
1159,LAD,212551,268967,0.7902493614,2022-10-19
1160,MAR,115894,268700,0.4313137328,2022-10-19
1161,KRC,139085,267287,0.5203582666,2022-10-19
1162,TTI,93660,267058,0.3507103326,2022-10-19
1163,GPC,150938,266987,0.5653383873,2022-10-19
1164,DGRW,155527,266635,0.5832955163,2022-10-19
1165,TPC,149820,265899,0.5634470231,2022-10-19
1166,ARCE,61932,265586,0.2331900025,2022-10-19
1167,DQ,172271,265232,0.6495106171,2022-10-19
1168,SITC,165111,265066,0.6229052387,2022-10-19
1169,RVLV,207201,263875,0.7852240644,2022-10-19
1170,NTAP,188665,263856,0.715030168,2022-10-19
1171,PLAY,126459,263757,0.479452678,2022-10-19
1172,CLX,136768,263570,0.5189057935,2022-10-19
1173,VSH,123279,263216,0.4683567868,2022-10-19
1174,HRL,179843,262836,0.6842403628,2022-10-19
1175,BSMS,246508,262154,0.9403175233,2022-10-19
1176,VEEV,75966,261082,0.2909660566,2022-10-19
1177,CWK,158544,260913,0.6076508261,2022-10-19
1178,SB,84525,260802,0.324096441,2022-10-19
1179,BURL,197305,260518,0.7573564974,2022-10-19
1180,IQV,119797,260426,0.4600039935,2022-10-19
1181,ADNT,158676,259119,0.6123672907,2022-10-19
1182,CHRS,118827,258784,0.4591744466,2022-10-19
1183,VBLT,125075,258605,0.4836526749,2022-10-19
1184,VSDA,3542,258389,0.0137080139,2022-10-19
1185,RCII,163560,258203,0.6334550722,2022-10-19
1186,FULC,69611,257942,0.2698707461,2022-10-19
1187,GOGO,133736,257469,0.5194256396,2022-10-19
1188,FUV,166332,257435,0.646112611,2022-10-19
1189,EAT,127689,256843,0.4971480632,2022-10-19
1190,RARE,98388,256745,0.3832129155,2022-10-19
1191,CCK,154714,256322,0.6035923565,2022-10-19
1192,LPSN,75804,256173,0.295909405,2022-10-19
1193,VTWO,132272,255229,0.5182483182,2022-10-19
1194,KALV,116915,255090,0.4583284331,2022-10-19
1195,XT,196394,254943,0.7703447437,2022-10-19
1196,OUT,94292,254864,0.3699698663,2022-10-19
1197,WPC,154342,254611,0.6061874782,2022-10-19
1198,VNQI,138972,254590,0.545865902,2022-10-19
1199,ALLO,135123,253897,0.5321961268,2022-10-19
1200,HDB,90207,253806,0.3554171296,2022-10-19
1201,VAL,82382,253753,0.3246542898,2022-10-19
1202,IAC,155312,253492,0.6126899468,2022-10-19
1203,ADAP,97137,252779,0.3842763837,2022-10-19
1204,WEC,82301,251550,0.3271755118,2022-10-19
1205,SFL,159768,251457,0.6353690691,2022-10-19
1206,MX,53430,251413,0.2125188435,2022-10-19
1207,NNN,175705,251368,0.6989950988,2022-10-19
1208,CALM,141563,251348,0.5632151439,2022-10-19
1209,NFE,132892,251275,0.5288707591,2022-10-19
1210,UCBI,182135,251187,0.7250972383,2022-10-19
1211,ORAN,123925,251184,0.4933634308,2022-10-19
1212,ALNY,178621,251168,0.7111614537,2022-10-19
1213,WTER,154923,251165,0.6168176298,2022-10-19
1214,CRSP,149830,250947,0.597058343,2022-10-19
1215,FVRR,99198,250778,0.3955610141,2022-10-19
1216,RSG,115389,250462,0.4607046179,2022-10-19
1217,UPWK,72580,250390,0.2898678062,2022-10-19
1218,LXU,72054,250380,0.2877785766,2022-10-19
1219,ILPT,118617,250358,0.4737895334,2022-10-19
1220,DNP,105916,249978,0.4237012857,2022-10-19
1221,AAWW,174566,249797,0.6988314511,2022-10-19
1222,GPN,161693,249319,0.6485386192,2022-10-19
1223,GORO,184590,249071,0.7411139795,2022-10-19
1224,ROIC,138196,248495,0.5561319141,2022-10-19
1225,NEO,164680,248318,0.6631818877,2022-10-19
1226,SJT,127150,248171,0.5123483405,2022-10-19
1227,TMHC,131343,247853,0.5299229785,2022-10-19
1228,QGEN,115760,247758,0.4672301197,2022-10-19
1229,KAR,135594,247704,0.5474033524,2022-10-19
1230,BXP,124032,246204,0.5037773554,2022-10-19
1231,SIGA,144605,245429,0.5891928012,2022-10-19
1232,XRAY,143072,245380,0.5830630043,2022-10-19
1233,ETR,88069,245336,0.3589730003,2022-10-19
1234,FTV,119280,244820,0.4872150968,2022-10-19
1235,NVO,86077,244801,0.3516202957,2022-10-19
1236,WING,197542,244655,0.807430872,2022-10-19
1237,ADP,126625,244617,0.5176459527,2022-10-19
1238,CDNS,97691,244320,0.3998485593,2022-10-19
1239,FTRI,150482,244258,0.6160780814,2022-10-19
1240,PACK,82571,244108,0.3382560178,2022-10-19
1241,SPGI,125160,243826,0.5133168735,2022-10-19
1242,SOXX,170681,243531,0.7008594388,2022-10-19
1243,BTZ,162668,243113,0.6691044905,2022-10-19
1244,GAB,22704,242788,0.0935136827,2022-10-19
1245,GL,75330,242560,0.3105623351,2022-10-19
1246,EGHT,114823,241902,0.4746674273,2022-10-19
1247,GRPN,168944,241878,0.6984678226,2022-10-19
1248,SGMO,115507,241806,0.4776845901,2022-10-19
1249,GOF,125915,241504,0.5213785279,2022-10-19
1250,VNTR,63233,241316,0.2620340135,2022-10-19
1251,SJM,100117,240626,0.4160689202,2022-10-19
1252,BRX,137997,240132,0.5746714307,2022-10-19
1253,AMTX,145575,239779,0.6071215578,2022-10-19
1254,BSMR,220384,239155,0.9215111539,2022-10-19
1255,JQC,21322,238891,0.089254095,2022-10-19
1256,MMU,13605,238558,0.0570301562,2022-10-19
1257,NIU,122588,238402,0.5142070956,2022-10-19
1258,KMT,122909,238320,0.51573095,2022-10-19
1259,CMI,166217,238061,0.6982118029,2022-10-19
1260,CPRX,133278,237973,0.5600551323,2022-10-19
1261,HSIC,158162,236652,0.6683315586,2022-10-19
1262,LRN,84167,236481,0.3559144286,2022-10-19
1263,OC,157610,236076,0.6676239855,2022-10-19
1264,OZK,165489,235557,0.7025433335,2022-10-19
1265,SSNC,97885,235508,0.4156334392,2022-10-19
1266,LNTH,63078,235450,0.2679040136,2022-10-19
1267,RYAAY,112519,235308,0.4781775375,2022-10-19
1268,BKU,145466,235067,0.6188278236,2022-10-19
1269,MFA,181638,235052,0.7727566666,2022-10-19
1270,AXL,119070,235038,0.5065989329,2022-10-19
1271,LAMR,145882,235027,0.6207031533,2022-10-19
1272,GSM,116914,234549,0.4984630077,2022-10-19
1273,ODFL,127168,234283,0.5427965324,2022-10-19
1274,SNDX,76331,234024,0.3261674016,2022-10-19
1275,NCV,104502,234013,0.4465649344,2022-10-19
1276,DE,155640,233102,0.6676905389,2022-10-19
1277,LPLA,73817,233096,0.3166806809,2022-10-19
1278,ROL,139026,232888,0.5969650648,2022-10-19
1279,ARWR,150041,232490,0.6453653921,2022-10-19
1280,HLX,90695,231966,0.3909840235,2022-10-19
1281,ALLE,128399,231840,0.5538259144,2022-10-19
1282,HSY,79644,230822,0.3450450997,2022-10-19
1283,CMC,121460,230783,0.5262952644,2022-10-19
1284,AVRO,149163,230648,0.6467127398,2022-10-19
1285,GOL,197453,230615,0.8562018949,2022-10-19
1286,MGA,87951,229773,0.3827734329,2022-10-19
1287,MKC,151898,229667,0.6613836555,2022-10-19
1288,RWT,121198,229574,0.5279256362,2022-10-19
1289,AWP,74803,228892,0.3268047813,2022-10-19
1290,MGI,36482,228824,0.159432577,2022-10-19
1291,CSIQ,76643,228760,0.3350367197,2022-10-19
1292,JEF,139520,228408,0.6108367483,2022-10-19
1293,TPIC,84248,228036,0.3694504377,2022-10-19
1294,NR,44724,228002,0.1961561741,2022-10-19
1295,MRSN,108997,227692,0.4787036874,2022-10-19
1296,VNET,125593,227312,0.5525137256,2022-10-19
1297,NTLA,143344,226948,0.631616053,2022-10-19
1298,PRVB,153869,226922,0.6780699976,2022-10-19
1299,JBL,91272,226833,0.4023753158,2022-10-19
1300,CELH,163403,226251,0.7222200123,2022-10-19
1301,ARCO,93084,226234,0.4114500915,2022-10-19
1302,PARR,48355,226039,0.213923261,2022-10-19
1303,OGE,173548,225997,0.7679216981,2022-10-19
1304,HQY,80098,225870,0.3546199141,2022-10-19
1305,SPNE,28775,225265,0.1277384414,2022-10-19
1306,HIW,116057,224829,0.5162012018,2022-10-19
1307,BSMO,219447,224697,0.9766352021,2022-10-19
1308,SLM,99158,224094,0.4424839576,2022-10-19
1309,DBI,125893,223867,0.5623562204,2022-10-19
1310,VIGI,94314,223391,0.4221924787,2022-10-19
1311,ARMK,154839,223196,0.6937355508,2022-10-19
1312,TCS,110384,222664,0.495742464,2022-10-19
1313,JBGS,162631,222539,0.7307977478,2022-10-19
1314,SBRA,86278,222197,0.3882950715,2022-10-19
1315,WVE,84383,221518,0.3809306693,2022-10-19
1316,ECPG,181087,221508,0.8175190061,2022-10-19
1317,SEEL,147570,221068,0.667532162,2022-10-19
1318,SEAS,104822,220763,0.4748168851,2022-10-19
1319,ALT,91296,220687,0.4136899772,2022-10-19
1320,IMBI,110659,220522,0.5018048086,2022-10-19
1321,EURN,104803,220362,0.4755947033,2022-10-19
1322,OMI,75894,218993,0.3465590224,2022-10-19
1323,LIN,80150,218831,0.3662643775,2022-10-19
1324,ATHX,130126,218189,0.5963912021,2022-10-19
1325,IGR,105019,218144,0.4814205296,2022-10-19
1326,APLS,147176,217991,0.6751471391,2022-10-19
1327,BSMN,201795,217801,0.9265108976,2022-10-19
1328,ALC,65269,217721,0.2997827495,2022-10-19
1329,TK,77945,216798,0.3595282244,2022-10-19
1330,VWOB,120302,216558,0.555518614,2022-10-19
1331,AZRE,171623,216205,0.7937975532,2022-10-19
1332,WCN,109599,216082,0.5072102257,2022-10-19
1333,ADSK,106841,215906,0.4948496105,2022-10-19
1334,WMS,101605,215869,0.4706789766,2022-10-19
1335,DSL,95688,215793,0.4434249489,2022-10-19
1336,CIBR,68418,215732,0.3171434929,2022-10-19
1337,BSMQ,201235,215711,0.9328916931,2022-10-19
1338,HUM,146021,215695,0.6769790677,2022-10-19
1339,RELL,144806,215649,0.6714893183,2022-10-19
1340,TD,90209,215587,0.4184343212,2022-10-19
1341,LYV,127913,215334,0.5940213807,2022-10-19
1342,NMZ,84420,215238,0.3922169877,2022-10-19
1343,H,153455,215234,0.7129682113,2022-10-19
1344,WERN,172053,215173,0.7996031101,2022-10-19
1345,VIAV,149098,215108,0.6931308924,2022-10-19
1346,FMX,122405,214919,0.5695401523,2022-10-19
1347,RHI,109421,214460,0.5102163574,2022-10-19
1348,ABEO,104650,214426,0.4880471585,2022-10-19
1349,TKC,54369,214244,0.2537714008,2022-10-19
1350,TXRH,60813,214117,0.2840176165,2022-10-19
1351,QUOT,109201,213996,0.5102945849,2022-10-19
1352,SRE,93521,213134,0.4387896816,2022-10-19
1353,JPS,75025,212863,0.3524567445,2022-10-19
1354,DHY,18339,212739,0.0862042221,2022-10-19
1355,CRON,84272,212710,0.396182596,2022-10-19
1356,BZH,118212,212702,0.5557634625,2022-10-19
1357,CMRE,102925,212588,0.4841524451,2022-10-19
1358,MESA,91079,212551,0.4285042178,2022-10-19
1359,STAG,157997,212273,0.7443103927,2022-10-19
1360,BDJ,89657,212186,0.4225396586,2022-10-19
1361,BC,129297,212023,0.6098253491,2022-10-19
1362,SLCA,54459,212010,0.256869959,2022-10-19
1363,ATRA,117658,211702,0.5557717924,2022-10-19
1364,USFD,56799,211691,0.2683108871,2022-10-19
1365,MT,149611,211585,0.7070964388,2022-10-19
1366,KTOS,54603,211418,0.2582703459,2022-10-19
1367,WH,131729,211392,0.6231503557,2022-10-19
1368,SFM,167698,211313,0.7936000151,2022-10-19
1369,HYT,148007,211293,0.7004822687,2022-10-19
1370,ACLS,69837,211214,0.3306456958,2022-10-19
1371,AAU,50002,211210,0.2367406846,2022-10-19
1372,OPGN,133497,211085,0.6324324324,2022-10-19
1373,LNC,88055,211075,0.4171739903,2022-10-19
1374,INPX,73452,211021,0.3480791011,2022-10-19
1375,E,182829,210868,0.8670305594,2022-10-19
1376,MHK,165385,210564,0.7854381566,2022-10-19
1377,MCO,117172,210377,0.5569620253,2022-10-19
1378,LNT,113770,210366,0.5408193339,2022-10-19
1379,LCTX,111973,210286,0.5324795754,2022-10-19
1380,RELX,144863,210137,0.689374075,2022-10-19
1381,MCK,96069,210054,0.4573538233,2022-10-19
1382,ESI,130669,209658,0.6232483378,2022-10-19
1383,AMN,145493,209086,0.6958524244,2022-10-19
1384,GGG,136747,209026,0.654210481,2022-10-19
1385,YEXT,115318,208852,0.552151763,2022-10-19
1386,HYLS,28743,208766,0.1376804652,2022-10-19
1387,SUSC,18661,208304,0.0895854136,2022-10-19
1388,CHEK,111081,207585,0.5351109184,2022-10-19
1389,SJI,89995,207416,0.433886489,2022-10-19
1390,ERJ,58021,207245,0.2799633284,2022-10-19
1391,SWTX,156285,206771,0.7558361666,2022-10-19
1392,VVV,91129,206487,0.441330447,2022-10-19
1393,PHK,148738,206284,0.7210350779,2022-10-19
1394,BSMP,130120,206250,0.6308848485,2022-10-19
1395,SID,91021,205120,0.4437451248,2022-10-19
1396,VCEL,96879,204606,0.4734905135,2022-10-19
1397,TALO,147012,204568,0.7186461226,2022-10-19
1398,TPH,143896,204098,0.7050338563,2022-10-19
1399,MITT,150116,204015,0.7358086415,2022-10-19
1400,ONB,109888,203999,0.5386693072,2022-10-19
1401,HLF,100927,203691,0.4954907188,2022-10-19
1402,CUBE,46746,203419,0.2298015426,2022-10-19
1403,SYNA,91100,203312,0.4480797985,2022-10-19
1404,VRSK,49023,202869,0.2416485515,2022-10-19
1405,CONN,100647,202713,0.4964999778,2022-10-19
1406,TAP,146449,202546,0.723040692,2022-10-19
1407,TGI,124822,202539,0.6162862461,2022-10-19
1408,ALE,48466,202019,0.2399081275,2022-10-19
1409,ZTO,142461,201887,0.7056472185,2022-10-19
1410,SD,48397,200364,0.2415453874,2022-10-19
1411,TWNK,129140,200207,0.6450323915,2022-10-19
1412,FRPT,141086,200021,0.7053559376,2022-10-19
1413,OMER,124629,199293,0.6253556322,2022-10-19
1414,MERC,131637,199195,0.6608449007,2022-10-19
1415,YY,142840,198983,0.7178502686,2022-10-19
1416,CDAY,147447,198698,0.7420658487,2022-10-19
1417,VRRM,118766,198686,0.5977572652,2022-10-19
1418,FSP,131578,198550,0.6626945354,2022-10-19
1419,AAP,106533,197926,0.5382466174,2022-10-19
1420,PDCO,111210,197693,0.5625388861,2022-10-19
1421,SIVB,137642,197069,0.6984457221,2022-10-19
1422,TROX,108494,196876,0.5510778358,2022-10-19
1423,GPRE,104622,196849,0.5314835229,2022-10-19
1424,CDXS,72423,196228,0.369075769,2022-10-19
1425,VOYA,51162,196208,0.2607538938,2022-10-19
1426,TIGR,89136,196076,0.454599237,2022-10-19
1427,GMDA,71947,196046,0.3669904002,2022-10-19
1428,PUK,92037,195905,0.4698042419,2022-10-19
1429,EXPD,145045,194879,0.7442823496,2022-10-19
1430,DAN,70350,194601,0.3615089337,2022-10-19
1431,EMN,136356,194331,0.7016688022,2022-10-19
1432,TCBI,63483,194048,0.3271510142,2022-10-19
1433,KOPN,81890,193950,0.4222222222,2022-10-19
1434,TRQ,133351,193735,0.6883165148,2022-10-19
1435,APAM,144935,193733,0.7481172542,2022-10-19
1436,CHKP,132439,193576,0.6841705583,2022-10-19
1437,SUI,125137,193518,0.6466426896,2022-10-19
1438,EXTR,117493,192972,0.6088603528,2022-10-19
1439,NTES,125839,192915,0.6523028277,2022-10-19
1440,PMT,94795,192770,0.4917518286,2022-10-19
1441,FRBK,170674,192748,0.8854774109,2022-10-19
1442,SF,110334,191789,0.5752884681,2022-10-19
1443,NCZ,48117,191669,0.2510421612,2022-10-19
1444,RCKT,88186,191023,0.4616512148,2022-10-19
1445,WAB,72090,190661,0.378105643,2022-10-19
1446,TSE,107051,190624,0.5615819624,2022-10-19
1447,FOR,15647,189926,0.0823847183,2022-10-19
1448,KRG,140381,189903,0.7392247621,2022-10-19
1449,XAIR,89561,189835,0.4717833908,2022-10-19
1450,FPH,108203,189543,0.5708625483,2022-10-19
1451,UGI,77557,189485,0.4093041666,2022-10-19
1452,AQB,83758,189419,0.4421837302,2022-10-19
1453,ATEC,22017,189237,0.1163461691,2022-10-19
1454,ZLAB,57521,188991,0.3043584086,2022-10-19
1455,SNMP,87418,188858,0.4628768705,2022-10-19
1456,PGRE,149854,188376,0.7955047352,2022-10-19
1457,UNVR,76321,187758,0.4064860086,2022-10-19
1458,BOOM,100237,187602,0.5343066705,2022-10-19
1459,ATI,104151,187513,0.5554334899,2022-10-19
1460,FGEN,101007,187353,0.5391266753,2022-10-19
1461,EMXC,101412,187255,0.5415716536,2022-10-19
1462,REV,112038,187150,0.5986534865,2022-10-19
1463,BBVA,87003,187131,0.4649309842,2022-10-19
1464,CPRT,115079,187127,0.614978063,2022-10-19
1465,ETNB,91791,187000,0.4908609626,2022-10-19
1466,LH,98905,186883,0.5292348689,2022-10-19
1467,RL,126060,186873,0.6745757814,2022-10-19
1468,EXR,110260,186434,0.5914157289,2022-10-19
1469,ETY,67985,186352,0.36482034,2022-10-19
1470,JELD,147371,186262,0.7912027145,2022-10-19
1471,CDC,97424,185877,0.5241315494,2022-10-19
1472,CNNE,34369,185718,0.185060145,2022-10-19
1473,ARI,87926,185696,0.4734943133,2022-10-19
1474,XYL,131887,185452,0.7111651532,2022-10-19
1475,IRT,104964,185381,0.5662068928,2022-10-19
1476,GTES,82873,185194,0.4474928993,2022-10-19
1477,ORC,106789,185031,0.5771411277,2022-10-19
1478,VUZI,112294,184994,0.6070142815,2022-10-19
1479,CLS,28932,184627,0.1567051406,2022-10-19
1480,RES,102949,184482,0.5580436032,2022-10-19
1481,SBAC,102757,184047,0.5583193423,2022-10-19
1482,GWRE,103144,183490,0.5621232765,2022-10-19
1483,MUC,46995,183191,0.2565355285,2022-10-19
1484,JFR,69456,182989,0.3795637989,2022-10-19
1485,EVV,61416,182423,0.3366680737,2022-10-19
1486,SMAR,97123,182196,0.5330687831,2022-10-19
1487,APD,109687,182165,0.6021299371,2022-10-19
1488,PDM,47205,181944,0.259447962,2022-10-19
1489,KRP,139780,181796,0.7688838038,2022-10-19
1490,TDW,71513,181186,0.3946938505,2022-10-19
1491,CTRE,25742,181184,0.1420765631,2022-10-19
1492,ENTG,117485,180735,0.650040114,2022-10-19
1493,GNK,118231,180586,0.6547074524,2022-10-19
1494,EFC,142170,180482,0.7877239836,2022-10-19
1495,PTGX,51084,180347,0.2832539493,2022-10-19
1496,FMC,81951,180336,0.4544350546,2022-10-19
1497,CNI,89232,180219,0.495130924,2022-10-19
1498,COHU,159819,180219,0.886804388,2022-10-19
1499,MDC,137785,180185,0.7646862946,2022-10-19
1500,FMB,29651,179721,0.1649835022,2022-10-19
1501,PKI,145890,179677,0.8119570117,2022-10-19
1502,AAXJ,92741,179478,0.516726284,2022-10-19
1503,PHAS,130339,179281,0.7270095548,2022-10-19
1504,AON,122840,179222,0.6854069255,2022-10-19
1505,VFF,130198,179077,0.727050375,2022-10-19
1506,BCE,60441,179034,0.3375950937,2022-10-19
1507,TREE,125801,178831,0.7034630461,2022-10-19
1508,PH,135010,178818,0.7550134774,2022-10-19
1509,PEN,54353,178756,0.304062521,2022-10-19
1510,ELF,67126,178747,0.3755363726,2022-10-19
1511,PHIO,62081,177896,0.3489735576,2022-10-19
1512,TNK,69528,177892,0.3908438828,2022-10-19
1513,CE,86367,177734,0.4859340363,2022-10-19
1514,PVH,120272,177599,0.6772110203,2022-10-19
1515,POAI,64974,176994,0.3670971897,2022-10-19
1516,IMAB,83361,176781,0.4715495444,2022-10-19
1517,TWOU,87043,176651,0.4927399222,2022-10-19
1518,AYTU,112433,176592,0.6366822959,2022-10-19
1519,YCBD,96985,176554,0.5493220205,2022-10-19
1520,RH,130527,176382,0.7400244923,2022-10-19
1521,DPZ,102649,175902,0.5835578902,2022-10-19
1522,NGG,97023,175808,0.5518690845,2022-10-19
1523,HAIN,96290,175799,0.5477278028,2022-10-19
1524,MFGP,36993,175357,0.2109582167,2022-10-19
1525,ATO,121526,175096,0.6940535478,2022-10-19
1526,CLPS,72789,174280,0.4176554969,2022-10-19
1527,LXP,65077,174240,0.3734905877,2022-10-19
1528,VMC,79913,174170,0.4588218407,2022-10-19
1529,IONS,64639,173846,0.3718175857,2022-10-19
1530,AKTS,69645,173625,0.4011231102,2022-10-19
