,Date,Ticker,TrumpBeta,TrumpOdds
118,2020-05-21,MSFT,0.6484011535,0.49
119,2020-05-20,MSFT,0.6491657003,0.49
120,2020-05-19,MSFT,0.6484445683,0.5
121,2020-05-18,MSFT,0.6476644498,0.5
122,2020-05-17,MSFT,0.6476644498,0.49
123,2020-05-16,MSFT,0.6476644498,0.49
124,2020-05-15,MSFT,0.6474545994,0.5
125,2020-05-14,MSFT,0.648850375,0.49
126,2020-05-13,MSFT,0.6487167427,0.5
127,2020-05-12,MSFT,0.6505486513,0.49
128,2020-05-11,MSFT,0.6526632658,0.49
129,2020-05-10,MSFT,0.6526632658,0.49
130,2020-05-09,MSFT,0.6526632658,0.49
131,2020-05-08,MSFT,0.6544305676,0.49
132,2020-05-07,MSFT,0.656884366,0.49
133,2020-05-06,MSFT,0.6576321392,0.5
134,2020-05-05,MSFT,0.6578202981,0.5
135,2020-05-04,MSFT,0.6601893002,0.49
136,2020-05-03,MSFT,0.6601893002,0.5
137,2020-05-02,MSFT,0.6601893002,0.5
138,2020-05-01,MSFT,0.6597727448,0.5
139,2020-04-30,MSFT,0.6593848899,0.5
140,2020-04-29,MSFT,0.6584769712,0.5
141,2020-04-28,MSFT,0.6571782939,0.5
142,2020-04-27,MSFT,0.6563194572,0.5
143,2020-04-26,MSFT,0.6563194572,0.5
144,2020-04-25,MSFT,0.6563194572,0.49
145,2020-04-24,MSFT,0.656059467,0.5
146,2020-04-23,MSFT,0.6557091316,0.5
147,2020-04-22,MSFT,0.6538235512,0.51
148,2020-04-21,MSFT,0.6516032417,0.51
149,2020-04-20,MSFT,0.6497025528,0.51
150,2020-04-19,MSFT,0.6497025528,0.51
151,2020-04-18,MSFT,0.6497025528,0.51
152,2020-04-17,MSFT,0.6502466038,0.5
153,2020-04-16,MSFT,0.6521528976,0.5
154,2020-04-15,MSFT,0.6528035222,0.5
155,2020-04-14,MSFT,0.653057169,0.5
156,2020-04-13,MSFT,0.6486187958,0.52
157,2020-04-12,MSFT,0.6486187958,0.5
158,2020-04-11,MSFT,0.6486187958,0.5
159,2020-04-09,MSFT,0.6475730209,0.5
160,2020-04-07,MSFT,0.6514123181,0.49
161,2020-04-06,MSFT,0.656890017,0.49
162,2020-04-05,MSFT,0.656890017,0.47
163,2020-04-03,MSFT,0.665646166,0.48
164,2020-04-02,MSFT,0.6746959789,0.48
165,2020-04-01,MSFT,0.6816343604,0.49
166,2020-03-31,MSFT,0.6883462432,0.49
167,2020-03-30,MSFT,0.6927536889,0.5
168,2020-03-29,MSFT,0.6927536889,0.5
169,2020-03-28,MSFT,0.6927536889,0.5
170,2020-03-28,MSFT,0.6927536889,0.5
171,2020-03-27,MSFT,0.6941736561,0.5
172,2020-03-26,MSFT,0.7000151873,0.49
173,2020-03-25,MSFT,0.7093507412,0.48
174,2020-03-24,MSFT,0.728417343,0.47
175,2020-03-23,MSFT,0.7499825741,0.47
176,2020-03-22,MSFT,0.7499825741,0.47
177,2020-03-21,MSFT,0.7499825741,0.47
178,2020-03-20,MSFT,0.7704886531,0.47
179,2020-03-18,MSFT,0.7847199252,0.48
180,2020-03-17,MSFT,0.7988050624,0.48
181,2020-03-15,MSFT,0.7988050624,0.46
182,2020-03-13,MSFT,0.8216238123,0.47
183,2020-03-12,MSFT,0.8329027577,0.47
184,2020-03-11,MSFT,0.8367732099,0.5
185,2020-03-10,MSFT,0.8430796884,0.49
186,2020-03-09,MSFT,0.8497656096,0.48
187,2020-03-08,MSFT,0.8497656096,0.51
188,2020-03-07,MSFT,0.8497656096,0.53
189,2020-03-06,MSFT,0.8463268944,0.54
190,2020-03-05,MSFT,0.8417514333,0.55
191,2020-03-04,MSFT,0.836489277,0.56
192,2020-03-03,MSFT,0.8322038229,0.54
193,2020-03-02,MSFT,0.8251451295,0.56
194,2020-03-01,MSFT,0.8251451295,0.53
195,2020-02-29,MSFT,0.8251451295,0.52
196,2020-02-28,MSFT,0.8230528759,0.52
197,2020-02-27,MSFT,0.8186360975,0.54
198,2020-02-26,MSFT,0.8105935094,0.57
199,2020-02-25,MSFT,0.8038633224,0.56
200,2020-02-24,MSFT,0.7983433113,0.55
201,2020-02-23,MSFT,0.7983433113,0.56
202,2020-02-22,MSFT,0.7983433113,0.55
203,2020-02-21,MSFT,0.7910303003,0.56
204,2020-02-20,MSFT,0.7801588031,0.56
205,2020-02-19,MSFT,0.7684245911,0.55
206,2020-02-18,MSFT,0.7601652278,0.53
207,2020-02-17,MSFT,0.7601652278,0.53
208,2020-02-16,MSFT,0.7601652278,0.54
209,2020-02-15,MSFT,0.7601652278,0.54
210,2020-02-14,MSFT,0.7484031686,0.54
211,2020-02-13,MSFT,0.732287154,0.56
212,2020-02-12,MSFT,0.7148201174,0.55
213,2020-02-11,MSFT,0.6969215601,0.54
214,2020-02-10,MSFT,0.6811173612,0.53
215,2020-02-09,MSFT,0.6811173612,0.54
216,2020-02-08,MSFT,0.6811173612,0.54
217,2020-02-07,MSFT,0.6525056692,0.55
218,2020-02-06,MSFT,0.6187236908,0.55
219,2020-02-05,MSFT,0.596238911,0.52
220,2020-02-04,MSFT,0.5777002086,0.51
221,2020-02-03,MSFT,0.5881307482,0.47
222,2020-02-02,MSFT,0.5881307482,0.46
223,2020-02-01,MSFT,0.5881307482,0.47
224,2020-01-31,MSFT,0.5874146966,0.48
225,2020-01-30,MSFT,0.5869614307,0.48
226,2020-01-29,MSFT,0.5817982307,0.48
227,2020-01-28,MSFT,0.5749420686,0.48
228,2020-01-27,MSFT,0.5676486465,0.48
229,2020-01-26,MSFT,0.5676486465,0.48
230,2020-01-25,MSFT,0.5676486465,0.49
231,2020-01-24,MSFT,0.5563830641,0.49
232,2020-01-23,MSFT,0.5407207851,0.5
233,2020-01-22,MSFT,0.5250701161,0.5
234,2020-01-21,MSFT,0.51047584,0.49
235,2020-01-20,MSFT,0.51047584,0.49
236,2020-01-19,MSFT,0.51047584,0.49
237,2020-01-18,MSFT,0.51047584,0.49
238,2020-01-17,MSFT,0.4943831652,0.49
239,2020-01-16,MSFT,0.46889991,0.51
240,2020-01-15,MSFT,0.4489424788,0.5
241,2020-01-14,MSFT,0.4292333208,0.5
242,2020-01-13,MSFT,0.4008539893,0.51
243,2020-01-12,MSFT,0.4008539893,0.52
244,2020-01-11,MSFT,0.4008539893,0.5
245,2020-01-10,MSFT,0.3764023843,0.5
246,2020-01-09,MSFT,0.35283818,0.49
247,2020-01-08,MSFT,0.3262044998,0.5
248,2020-01-07,MSFT,0.3112569056,0.48
249,2020-01-06,MSFT,0.292023959,0.48
250,2020-01-05,MSFT,0.292023959,0.48
251,2020-01-04,MSFT,0.292023959,0.48
252,2020-01-03,MSFT,0.2706892144,0.48
253,2020-01-02,MSFT,0.2513257364,0.47
254,2020-01-01,MSFT,0.2513257364,0.48
